,순위,책이름,저자,줄거리
111,112,별에서 온 아이,오스카 와일드,"가치에 대한 문제를 제기하는 오스카 와일드의 짧은 소설들!오스카 와일드 단편선『별에서 온 아이』. 다양한 형식을 넘나들며 유려한 필력을 보여주는 오스카 와일드의 단편들을 만날 수 있다. 1880년대 후반과 1890년대 초반에 출간되었던 오스카 와일드의 단편소설집을 묶었다. 이안 스몰은 서문을 통해 와일드과 삶과, 그의 소설에 대한 문화적ㆍ문학적 배경 및 복잡한 해석 가능성을 설명하고 있다. 와일드의 작품은 전통적이고 대중적인 장르를 진지하면서도 파괴적인 태도로 변형한다. 그의 작품에서 악은 기존의 사회적 가치들이 얼마나 부패해 있고 빈약한지를 폭로하는 기능을 하고 있다. 가치의 본질을 예리하게 비판하며, 그 가치가 어떻게 사회적 응집력을 가지게 되었는지를 날카롭게 파헤친다.이 작품집에는 동화, 괴담, 풍속희.."
112,113,삼국지 세트,나관중,"생동감 넘치는 문체로 황석영이 옮긴 나관중의 《삼국지》!탄탄한 역사의식을 바탕으로 우리 시대의 현실문제에 깊이 밀착한 작품들을 발표해온 황석영이 번역한 나관중의 『삼국지 세트』. 현재 중국에서 가장 신뢰할 만하다고 정평이 나 있을 뿐 아니라 무엇보다 모종강본의 수많은 오류를 바로잡은 충실한 텍스트로 학계의 주목을 받은 바 있는 1999년 샹하이 강소고적(江蘇古籍)출판사에서 출간한 《수상삼국연의》를 원본으로 삼아 번역한 것이다. 현실에서 실패한 영웅을 내세워 집단적인 열망을 투영하는 역사적 흐름 가운데 자리 잡고 있는 나관중의 《삼국지》를 황석영 작가가 7년여 동안 연마하고, 관련 전문가들의 자문을 받아 청소년에서 노년층에 이르기까지 누구나 즐길 수 있는 유려한 글맛을 살려낸 번역본이다. 원문의 간결하고 객관.."
113,114,이름 없는 주드 1,토마스 하디,"인습과 제도에 저항한 젊은이들의 처절하고 비극적인 사랑 이야기<테스>의 작가 토머스 하디를 절필로 이끈 문제작 『이름 없는 주드』제1권. 당시의 교육 제도와 결혼 제도에 과감히 도전장을 던짐으로써, 기성세대를 대표하는 논객들에게서 혹독한 공격을 받았다. 국배네서 <비운의 주드>라 소개된 이 작품을, 영문학자 정종화가 정확한 번역과 유려한 문체로 새롭게 번역했다. 가난한 시골 마을에서 태어난 주드는, 학자와 성직자의 꿈을 이루기 위해 열심히 공부한다. 그리고 대도시 크라이스트민스터의 대학 입학 준비에 여념하던 중, 그와는 전혀 다른 가치관을 가진 당돌한 여인 아라벨라를 만나고 그녀의 성적 매력에 끌려 결혼하지만, 갈등을 극복하지 못하고 곧 별거한다.자신의 꿈을 위해 크라이스트민스터로 떠난.."
114,115,모리와 함께한 화요일,미치 앨봄,삶과 사랑의 진정한 가치를 일깨우는 책. 루게릭 병에 걸리기 전까지 브랜다이스 대학에서 평생학생들을 가르친 노교수 모리 슈워츠. 죽음을 앞둔 노교수가 20년만에 만난 제자와의 만남에서 들려준 가슴 벅찬 이야기들이 진정한 인간의 가치를 깨닫게 해주는 글이다
115,116,퍼레이드,요시다 슈이치,"우연히 한 아파트에서 동거하게 된 다섯 남녀의 요절복통 일상 이야기. 2002년 야마모토 슈고로 상에 이어 제127회 아쿠타가와 상을 수상한 일본의 차세대 주자 '요시다 슈이치'의 첫 장편소설로, 아파트나 단독주택에서 마음에 맞는 동료들과 공동으로 생활하는 '룸셰어'라는 일본의 요즘 풍조를 다루고 있다.다섯 사람은 각기 전혀 다른 직업과 가치관의 소유자들이지만 생활공간을 공유하게 되면서 서로 연계성을 갖게 된다. 다섯 명의 동거인들은 서로 깊은 관계도 아니고, 그렇다고 서먹서먹할 만큼 먼 사이도 아니다. 적당히 친하게 지내며 얼마간의 간격을 유지한 채 살아가고 있다. 그들 사이에는 보이지 않는 단층이 자리잡고 있으며, 모두들 자기 혼자만이 유리되어져 있다고 느낀다. 세 명의 남자와 두 명의 여자가 돌아가면서.."
116,117,사하촌,김정한,"식민 치하에서 태어나 암흑기를 거쳤고, 해방과 전쟁, 그리고 분단시대를 헤쳐오면서 한 개인의 실존적 삶을 고스란히 예술로 승화시킴으로써 한국문학사에서 리얼리즘과 민족 문학을 대표하는 작가로 평가되는 김정한의 단편선집. 김정한은 당대의 큰 현안이었으며, 지금도 해결의 실마리를 찾지 못하고 있는 '근대화 문제'를 예리하게 포착한 작가로 그의 비판은 오늘날에도 수용할 수 있을 만큼 정확하다. 황석영과 조세희로 이어지는 산업화에 대한 문학적 대응의 주요 거점이 되는 김정한의 11편의 단편을 만날 기회."
117,118,약소국 그랜드 펜윅의 뉴욕 침공기,레너드 위벌리,"독특한 소재와 기발함으로 뭉친 풍자소설 시리즈 ［그랜드 펜윅 시리즈］제1권 ""약소국 그랜드 펜윅의 뉴욕 침공기""편. 아일랜드 소설가 레너드 위벌리가 쓴 정치풍자소설의 고전로 불린다. 2003년 새롭게 개정 출간되었다.세계에서 가장 힘없는 약소국인 그랜드 펜윅이 어느 날 갑자기 초강력 핵폭탄을 보유함으로써 세계 제일의 강대국으로 군림한다는 유쾌한 줄거리를 담았다. 20세기 중반 냉전 시대를 소재로 한 반전 풍자소설로,강대국과 약소국 간의 불평등한 관계를 따끔하게 꼬집는다. 기발한 상상력을 통해 약소국의 관점에서 국제 관계와 강대국들의 정치적 도덕성을 신랄하고 위트있게 풍자해낸다."
118,119,창가의 토토,구로야나기 테츠코,"어린아이의 눈으로 써내려간 가슴 따뜻한 지난날의 이야기!주인공 토토가 인생에 있어 가장 값진 초등학교 시절을 추억하며, 자연과 친구와 다불어 사는 삶의 아름다움을 가르쳐 준 당시의 스승과 아이들의 인격과 개성을 존중한 수업 방식의 탁월함을 풀어나간 이야기를 담은 <창가의 토토> 개정판.　문제아로 찍혀 초등학교에서 퇴학당한 토토가 도모에 학원의 고바야시 교장 선생님을 만나면서 겪는 변화를 담은 이 책은 저자 구로야나기 테츠코의 자전적 소설이다. 서투르게 느껴질만큼 소박한 작법이 오히려 독자의 공감을 불러 일으킨다. 사환 아저씨가 변소 청소를 하면서 잠깐 정화조를 덮어둔 신문지가 뭔가 하고 뛰어들었다가 분뇨투성이가 되고 부상 군인들을 문병 간 병원에서 '꼭꼭 씹어요' 라는 점심시간 노래를 부르는 등 .."
119,120,서유기 10,오승은,"풍자와 해학 낭만과 재치로 가득찬 동양 소설의 걸작 <서유기> 완역본. 100회로 구성된 이 소설은 7세기 초엽, 당나라 스님 현장 법사가 인도 지역을 여행한 역사적 사실에 저자의 환상적인 허구를 가미시켜, 삼장 법사와 손오공 일행이 불경을 가지러 천축을 여행하는 과정을 묘사하고 있다. 영취산에서 불경을 얻어 가지고 돌아오기까지 손오공, 저팔계, 사오정이 스승을 보호하여 온갖 요괴들과 싸우며 40여 차례의 난관을 천신만고로 극복하면서 넘어가는 이야기가 펼쳐진다. (제10권)"
120,121,변성,심종문,"자연과 함께 살아가는 삶의 풍요로운 아름다움!중국 전원문학의 대표작으로 꼽히는 심종문의 중편소설『변성』. 중국 근현대 명작들을 번역해 소개하는「중국 현대소설선」시리즈의 세 번째 책이다. 어느 시골 마을을 배경으로 사공 노인과 손녀 취취, 그리고 그녀를 둘러싼 두 젊은이의 엇갈린 사랑을 그리고 있다. 자연에 순응하며 살아가는 삶의 아름다움을 애잔하게 묘사하였다.사천과 호남 두 성의 접경인 다동성 인근 나루터. 그곳에는 50년간 나룻배를 끌어온 사공 노인과 손녀 취취가 함께 살고 있었다. 이루어질 수 없는 사랑의 결실로 태어난 취취는 귀엽게 자란다. 소녀는 2년 전 단오 때, 축제에서 나송이라는 청년을 만났다. 묘한 감정이 봄바람과 함께 그녀를 스쳐갔지만, 순진하게 자라온 소녀는 그게 무엇인지 깨닫지 못했다. .."
121,122,혜초의 왕오천축국전,혜초,"아시아 대륙의 중심부를 해로와 육로로 일주한 대덕 고승 '혜초'의 견문록. 8세기 무렵의 인도와 중앙아시아, 페르시아, 아랍의 역사와 정치, 종교, 풍습, 문화에 관한 사실적인 기록을 담은 책이다. 『일체경음의』「혜초왕오천축국전」(영인본)을 원문과 함께 수록했으며, 풍부한 해설과 주석을 통해 혜초와 그의 여행기가 지닌 민족사적 업적과 세계사적 가치를 조명하고 있다. 또한 1987년 문화공보부에서 영인한 『왕오천축국전』의 축소 두루마리를 부록으로 실었다."
122,123,라모의 조카,드니 디드로,책으로 만나는 새로운 세상
123,124,나무들 비탈에 서다,황순원,"민족상잔의 비극인 6·25를 다룬 본격 장편소설!‘수난을 통해 구원’으로 이르는 사도 바울적 진실을 우리에게 보여 준 《나무들 비탈에 서다》는 황순원 문학의 창조적 정력이 절정으로 표출되던 40대 중반기의 대표작이다. 비탈에 선 나무처럼 6·25라는 민족 최대의 비극에 상처받고 몸부림치면서도 끝까지 구원의 삶을 갈망했던 젊은이들의 희생과 수난의 기록. “이건 마치 두꺼운 유리 속을 뚫고 간신히 걸음을 옮기는 것 같은 느낌이군.”`─`뛰어난 문체적 성과로 손꼽히는 이 첫 문장에서 알 수 있듯, 소설 전체가 탁월한 시적 비유로 아로새겨져 있어 읽을 때마다 생생하고 감동적인 현장감을 느낄 수 있다."
124,125,녹천에는 똥이 많다,이창동,이 책은 일반 독자들을 대상으로 집필한 소설이다.
125,126,노란 코끼리,스에요시 아키코,"어른이 되어 간다는 것이 씁쓸해진 그날은 내 열한 번째 생일날이었다!싱글맘 가족의 애환과 일상을 아이의 눈을 통해 따뜻하게 그려낸 작품. 어른들 시각에서 다루었던 이혼 문제를 아이의 눈을 통해 펼쳐 보임으로써 지금껏 다루었던 결손가정 문제를 색다르게 풀어낸 것이 특징이다. '노마 문예상' 수상작이자 '일본 도서관 협회 선정도서'로 선정되었다. 언제나 덜렁대기 일쑤고 실수투성이인 엄마는 어느 날 소형 중고 자동차 '노란 코끼리'를 데려온다. 우여곡절 끝에 운전면허를 취득한 엄마는 운전에서도 실수 연발이다. 초등학교 5학년인 '나'는 이런 엄마가 부끄러운 한편 노란 코끼리가 무사히 지낼 수 있을지 걱정한다. 열한 번째 맞이하는 나의 생일날, 아빠는 생일 선물을 가지고 집으로 온다. 하지만, 엄마와 아빠는 심하게.."
126,127,올리버 트위스트 1,찰스 디킨스,"고아 소년 올리버가 런던에서 겪는 모험과 역경의 과정을 그린 장편소설 『올리버 트위스트』제1권. 19세기 영국을 대표하는 작가 찰스 디킨즈의 대표작으로, 올리버의 모험과 역경, 뒷골목에서 벌어지는 음모와 배신의 이야기가 흥미진진하게 펼쳐진다. 19세기 영국의 그늘진 사회상황을 실감나는 뒷골목 풍경으로 그려낸 이 작품은 사회에 대한 문제의식과 대중성을 유기적으로 결합시킨 수작으로 평가받고 있다. 태어나자마자 고아가 된 올리버는 고아원을 탈출해 무작정 런던으로 향한다. 런던에서 올리버를 기다리고 있던 현실은 어둡고 차가운 뒷골목이었다. 소매치기 무리에 흘러들어간 올리버는 도둑으로 몰렸다가 누명을 벗고, 우연히 알게 된 신사의 호의로 보살핌을 받지만 또다시 소매치기 일당에게 납치당하는데…. 창비판 <올리버 .."
127,128,열하일기 세트,박지원,"2005년은 연암이 죽은 지 꼭 200년이 되는 해다. 연암 탄생 150주년에 맞추어 북한에서 《열하일기》 완역본을 냈는데, 남한에서는 연암 서거 200년을 앞두고 완역본이 출간되었다. 연암은 《열하일기》에서 철학과 사상, 과학과 음악, 정치와 문화, 실용과 논리를 자유롭게 펼친다. 이 책을 읽으면 왜 사람들이 조선의 중세가 이 책 한 권에서 끝장나기 시작했다고 말하는지 알게 될 것이다. 청나라 건륭 황제의 만수절을 축하하는 사신 일행에 어쩌다 함께 가게 된 연암은 빡빡한 일정과 아랑곳없이 혼자 온갖 풍류를 즐긴다. 《북학의》를 쓴 박제가를 내심 부러워했던 연암은 중국에서 좋은 벗들과 깊은 얘기를 나눠 보리라 작정했고, 한인과 만인을 가리지 않는 열린 태도 덕분에 많은 사람들과 갖가지 .."
128,129,화이트 노이즈,돈 드릴로,"필립 로스, 토마스 핀천 등과 함께 가장 강력한 노벨문학상 후보로 꼽히는 작가 돈 드릴로의 대표작. 작가는 이 책에서 '테크놀로지에 대한 맹신'으로 요약되는 현대인들의 사고와 대안없는 질주를 비판했다.미국의 블랙스미스라는 소도시에 어느 날 시커먼 검은 덩어리가 피어오른다. 유독물질을 실은 탱크 차가 도시 외곽에서 탈선하면서 도시 전체가 검은 구름에 뒤덮이게 된 것. 이 사태로 대학교수로 평화로운 삶을 살던 잭 글래드리 가족에게 시련이 찾아온다. 저자는 거대해진 테크놀로지와 더이상 이를 통제하지 못하게 된 인간문명의 어리석음을 통렬하게 꼬집는다. 저자 특유의 유머러스하면서도 지적인 문체가 돋보인다."
129,130,프라하 거리에서 울고 다니는 여자,실비 제르맹,"1989년 〈분노의 나날들〉로 페미나상을 수상한 작가 실비 제르맹 소설. 이 책은 처음부터 끝까지 책 속으로 들어간 한 여자의 행적을 뒤쫓으며, 은밀한 환기, 부드러움과 애정이 깃든 시적인 언어로 담아낸다.주인공 여자는 '쓰여지지 않은' 책 속에서 새처럼 날아오르고, 강과 물과 강둑의 기억에 귀를 기울이고, 사람들이 웅성대는 소리에 귀를 기울인다. 그리고 모든 말과 사물에 깃들인 언어의 숨소리를 듣는다. 이를 통해 작가는 '글을 쓴다는 것, 그것은 말들 사이에서 침묵을 지키고 있는 언어의 숨소리를 듣는 것'이라는 의도를 정확하게 표현하고 있다."
130,131,오스카 와오의 짧고 놀라운 삶,주노 디아스,"저주에 맞서 자신의 삶을 멋지게 살아낸 한 가족의 이야기!2008년 퓰리처상 수상작『오스카 와오의 짧고 놀라운 삶』. 단편집 〈드라운(DROWN)〉으로 주목을 받았던 작가 주노 디아스의 첫 장편소설로, 2007년 출간 이후 각종 언론에서 '올해의 소설'로 선정되고 2008년에는 퓰리처상을 수상하였다. 도미니카계 이민자 집안에서 태어난 오스카 와오를 비롯하여 삼대에 걸친 데 레온 가족의 이야기를 그리고 있다.몸무게가 110킬로그램에 육박하는 거구에 SF와 판타지 소설에 열광하는 오스카는 사랑에 목말라하지만, 그의 사랑은 늘 좌절로 끝나고 만다. 반대로 아름다운 외모가 돋보이는 오스카의 누나 롤라는 자신을 변하게 해줄 그 무언가를 찾아 끊임없이 나아간다. 오스카와 롤라의 엄마는 권력이 개인의 삶까지 좌지우지하던.."
131,132,도리언 그레이의 초상,오스카 와일드,"초상화 속 젊은과 자신의 영혼을 바꾼 청년, 도리언 그레이!19세기 영국의 전위작가 오스카 와일드의 대표작『도리언 그레이의 초상』. 1891년에 출간된 이 소설은 영국 세기말 문학의 대표적인 작품으로, 많은 화제를 불러일으키며 작가의 외설죄 혐의를 뒷받침하는 증거로 채택되기도 했다. 작가 특유의 독창적인 상상력을 바탕으로 영원한 젊음의 대가로 자신의 영혼을 판 청년의 이야기를 그리고 있다. 아름다운 자신의 초상화에 매료된 도리언 그레이는 초상화에 담긴 젊음과 아름다움을 자신의 영혼과 맞바꾼다. 그는 작가의 분신인 헨리 워튼 경의 유미적 쾌락주의에 영향을 받아, 상류사회에서는 점잖은 신사 행세를 하면서도 밖에서는 은밀하게 자신의 욕망에 탐닉하는 이중적인 삶에 빠져든다. 초상화만이 도리언 그레이의 몰락의 자취를.."
132,133,장석조네 사람들,김소진,"고난의 시대를 살아온 서민들의 삶의 애환을 절실하고도 아름다운 문체로 생생히 그려낸 소설을 통해 일상의 각질을 깨고 존재의 본질, 삶의 진실과 대면하게 한다는 평가를 받는 김소진 전집 중 장편소설. 소박하게 재현된 과거의 한 시절 속 하찮은 사람들의 사소하고 일상적인 생활 속에서 삶의 고유한 가치가 드러나고 있다. (해설 中)"
133,134,체호프 희곡전집 1,안톤 체호프,"러시아 작가 체호프의 희곡집-단막극편. 선술집을 배경으로 소외된 사람들의 삶의 고난과 사랑을 비극적으로 그린 <큰 길가에서>, 한 늙은 배우의 지나온 삶에 대한 회한을 묘사한 <백조의 노래> 외 <곰>, <재판 전날 밤> 등 10편의 단막극을 실었다."
134,135,기다림,하 진,"《기다림》은 이제 ‘천재 작가’라 불러도 누구 하나 부정할 수 없는 하 진의 첫 번째 장편소설이자 펜 포크너상과 전미 도서상을 수상하고 퓰리처상 최종 후보에까지 올라 미국 문단에 파란을 일으킨 바로 그 작품이다. 중국 문화혁명을 배경으로 하는《기다림》은 한 연인의 이야기이다. 시골 출신 군의관인 린은 부모님의 뜻에 따라 중국의 전통적인 여인 수위와 마음에도 없는 결혼을 한다. 고향에 아내와 부모를 두고 무지라는 시의 군병원에서 근무하게 된 린은 매달 돈을 고향으로 보내는 것으로 아들과 남편의 의무를 다하지만 전족까지 한 전근대적인 아내을 사랑하거나 자랑스러워하는 것은 아니다. 그러던 중 같은 군병원에서 일하는 간호사 만나를 만나게 되고, 아내와는 달리 세련된 현대 여성인 그녀와 결국 사랑에 빠진다. 그러나 .."
135,136,사라진느,오노레 드 발자크,"투르 태생 작가의 작품집. 표제를 비롯해 <미지의 걸 작>, <추방된 사람들> 든 모두 발자크 창작 활동의 전성기에 씌여진 작품들로 회화, 조각, 신학을 주제로예술 창조의 비밀과 신비주의 사상을 심도있게 파헤치려한 저자의 노력을 엿볼 수 있다."
136,137,황금 물고기,르 클레지오,"물고기처럼 순진무구한 천진성과 강한 생명력을 지닌 한 소녀의 역경에 찬 성장기를 그린 프랑스 작가의 장편. 아프리카에서 태어난 라일라는 어린 나이에 인신 매매범들에게 납치돼 아랍, 프랑스, 미국을 떠돌다가 아프리카로 돌아오는데..."
137,138,나 그리고 그 밖의 것들,수전 손택,"미국 최고의 에세이 작가이자 소설가이며 예술평론가인, 수전 손택의 소설집. 현대 도시와 문명, 미국 사회에 대한 통렬한 은유가 돋보이는 8편의 단편이 수록되어 있다. 앎의 본질이란 무엇인지, 소외된 현재 속에서 우리가 과거, 미래와 맺는 관계는 어떠한지 등을 열정으로 그려낸다. 이 책은 오로지 독백만으로 끝까지 이어지는 작품 <베이비>와 고전인 '지킬 박사와 하이디'를 새롭게 리라이팅한 <지킬 박사>, 가지 않은 중국에 대해 미리 쓴 기행문 <중국 여행 프로젝트>, 여행기처럼 보이지만 조금도 친절하지 않은 <안내 없는 여행>까지 지금껏 만나볼 수 없었던 새로운 형식의 작품들을 선보이고 있다. <인형>, <지킬박사>, <미국의 영혼들>.."
138,139,미들섹스 1,제프리 유제니디스,"여자로 양육되었으면서도 남자의 염색체를 가진, 남자로 살아가면서도 여자의 감성을 지닌 '미들-섹스'적인 인간 칼리오페의 이야기. 디트로이트를 배경으로 21세기의 성 정체성 문제를 극복해 나가는 그리스계 소녀(소년)의 성장 소설이다. 20세기 현대사를 바라보는 날카로운 시각을 통해 남성과 여성, 약자와 강자, 흑인과 백인, 구세계와 신세계, 은수저로 대변되는 전통과 현대 과학 간의 격차, 그리고 운명과 자유의지 사이의 긴장과 투쟁을 다루고 있다."
139,140,젊은 여성을 위한 인생론,펄벅,책으로 만나는 새로운 세상
140,141,여황 측천무후,샨사,"평민출신의 딸로 태어나 황제의 자리에까지 오른 중국의 여황제 측천무후의 파란만장한 삶을 담은 장편소설. 모든 것을 말하지 않음으로써 짙은 여운을 남기는 작가 샨사는 때론 간결하고 때론 비장한 문체로 절망과 희망, 노쇠와 죽음에 대한 두려움, 초월적인 세계에 대한 갈망과 삶에 대한 집착 등 잔인한 여장부이나 외로움과 공허함으로 가득한 '측전무후'의 내면을 실감나게 그려내고 있다. 평민 출신으로 쿠데타에 참여해 신흥귀족으로 부상한 무사확의 둘째딸 무조는 아버지의 사망과 몰락의 길을 걷다 정5품 재인으로 천거 받아 가족과 자신의 명운을 걸고 황궁으로 향한다. 빼어난 미모도 연줄도 금전도 없는 무조는 후에 황제가 되는 치노와의 운명적인 만남을 통해 절대권력에 다가서고, 피비린내 나는 암투 속에 추락과 부상을 거듭하.."
141,142,갈매기의 꿈,리처드 바크,미국 작가 리처드 바크의 세계적 베스트셀러. 갈매기로서 단순히 본능적인 먹이의 확보가 아닌 비행에 대한 자신의 의 지를 관철시키려는 갈매기 조나단 리빙스턴. 다른 갈매기의 따돌림에도 꿋꿋하게 자신의 꿈에 도전하는 갈매기를 주인공으로 한 신비소설이다. 출간 후 성직자들에게서 '신의 영역에 도전하는 오만으로 가득한 작품'이라는 비난을 받았으나 <바람과 함께 사라지다>의 판매고를 뛰어넘으며 세계적으로 유명해졌다.
142,143,성호사설,이익,"조선조 경세치용학파의 거장 성호 이익이 독서를 하거나 사색을 통해 터득한 생각을 비망록 형식으로 기록 한 책. 천지문,만물문,인사문,경사문,시문문 등 6개 장으로 나눠 `기지아동(箕指我東)` `논화형사(論畵形 似)` 등 모두 200여 편을 한문 원문과 함께 해설했다."
143,144,악마는 프라다를 입는다 1,로렌 와이스버거,"세계적인 패션잡지사에서 펼쳐지는 섹시하고 유쾌한 이야기패션 에디터들의 생생한 세계를 유쾌하게 그린 『악마는 프라다를 입는다』제1권. 패션계의 막강한 권력자이자 미국 「보그」 지 편집장인 안나 윈투어의 개인 어시스턴트로 일했던 작가의 경험을 바탕으로, 세계 패션계의 중심에서 실제로 벌어지는 사건들과 톡톡 튀는 상상력이 조화를 이루며 펼쳐지고 있다. 대학을 갓 졸업한 지방 출신의 앤드리아는 운 좋게도 '백만 명쯤 되는 여자들이 너무나도 하고 싶어 하는' 일자리를 얻게 된다. 바로 세계 최고의 패션지 「런웨이」의 편집장 미란다 프리스틀리의 개인 어시스턴트로 일하게 된 것. 미란다 프리스틀리는 베르사체, 지젤 번천, 힐러리 클린턴, 아르마니 등 세계 유명인사로부터 크리스마스 선물을 무려 256개나 받고, 수많은 이.."
144,145,미들섹스 2,제프리 유제니디스,"여자로 양육되었으면서도 남자의 염색체를 가진, 남자로 살아가면서도 여자의 감성을 지닌 '미들-섹스'적인 인간 칼리오페의 이야기. 디트로이트를 배경으로 21세기의 성 정체성 문제를 극복해 나가는 그리스계 소녀(소년)의 성장 소설이다. 20세기 현대사를 바라보는 날카로운 시각을 통해 남성과 여성, 약자와 강자, 흑인과 백인, 구세계와 신세계, 은수저로 대변되는 전통과 현대 과학 간의 격차, 그리고 운명과 자유의지 사이의 긴장과 투쟁을 다루고 있다."
145,146,무정,이광수,"우리나라 초기 현대문학의 거장 이광수의 매일신보 연재 장편소설. 형식, 병욱, 영채, 선형 등 네 명의 주 인공을 중심으로 신시대적인 사랑과 계몽주의적 사상을 담았다. 1917년에 발표된 <무정>은 우리나라 최초의 장편소설로 민족주의와 인도주의 정신에 입각한 민중 계몽을 담고 있다."
146,147,스키너의 월든 투,B.F. 스키너,책으로 만나는 새로운 세상
147,148,악마는 프라다를 입는다 2,로렌 와이스버거,"<섹스 앤 시티>보다 쉬크하고 <브리짓 존스의 일기>보다 유쾌한 소설!말 한마디로 ‘파리, 밀라노, 런던, 뉴욕’ 세계 4대 컬렉션의 스케줄을 바꾸는 여자. 반드시 그녀가 도착해야 패션쇼가 시작되고, 표정 하나만으로도 유명 디자이너들을 가슴 졸이게 하는 여자, 몇 마디 코멘트로 무명 디자이너를 세계적인 디자이너로 바꿔놓는 여자. 패션계의 막강한 권력자이자 미국 <보그> 지 편집장인 안나 윈투어! 『악마는 프라다를 입는다』는 그녀의 어시스턴트였던 로렌 와이스버거가 자신의 독특한 체험에 발칙한 상상력을 버무려 써낸 소설이다. 패션 에디터들의 세계를 톡톡 튀고 위트 있게 그려낸 이 소설은 출간 당시 6개월 동안 <뉴욕 타임스> 하드커버 베스트셀러에 오르면서 전 세계적인 .."
148,149,별,알퐁스 도데,"알퐁스 도데의 소설. 이 책은 누구나 알고 있는 알퐁스 도데의 유명한 소설이며 고등학교 교과서에서 접해 본 이야기들이 있다. 어릴때의 순수함을 느낄 수 있는 이 책에는 별 이외에도 마지막 수업, 코르뉴 영감의 비밀 등의 주옥같은 소설을 수록했다."
149,150,69,무라카미 류,"물고기좌에 O형, 외동아들에 할머니 손에 자란 고등학교 3년생인 나. 통칭 ‘겐’이라 불리는 나는 친구인 아다마, 이와세 각자의 이름을 딴 ‘이야야’를 조직하고, 그들과 함께 영화, 연극, 록과 시가 있는 페스티벌을 기획한다. ‘이야야’의 리더인 나는 삶이 무조건 즐거워야 한다고 생각하는 주의다. 랭보의 시 한 수로 얌전한 친구 아다마를 동지로 만들 정도로 청산유수에, 보지도 않은 영화와 문학 이야기를 줄줄 꿰고 있으며 록음악과 혁명전사와 시인을 숭배한다.나는 페스티벌의 일환으로 영화제작을 시작하고, 학교에서 가장 예쁜 소녀를 주연으로 하는 데 성공한다. 그녀와 친해진 나는 그녀가 정치적인 행동에 흥미를 가졌음을 알고 학교의 바리케이드 봉쇄를 결심한다. 학내의 정치파와 접촉한 나는 친구들에게 바리.."
150,151,종이시계,앤 타일러,"아무것도 바뀌지 않았지만 모든 것이 바뀐 그날!미국 문단의 대표적인 여성 작가 앤 타일러의 소설 『종이시계』. 1989년 퓰리처상을 수상한 작품으로, 결혼한 지 28년이 된 부부가 친구 남편의 장례식에 다녀오기 위해 자동차 여행을 하는 어느 하루의 이야기를 그리고 있다. 하루 동안 일어나는 일들과 함께, 부부의 의식 속에서 과거와 현재가 맞물리며 펼쳐진다.부부의 첫 만남, 결혼, 아들의 이혼 등 지난 삶의 희비극이 생생하게 그려진다. 어느새 인생의 중턱에 서서 자신들이 열여덟 살 때 꿈꾸었던 것과는 다른 현재의 삶에 놀라고 내심 실망하는 매기와 아이러. 그들은 여행을 통해 중년이라는 나이가 아름다움을 추억할 수도 있고, 미래의 가능성을 꿈꿀 수도 있는 시기임을 깨닫게 된다. 어떤 극적인 요소도, 센세이셔널한.."
151,152,슬픔이여 안녕,프랑수아즈 사강,"18세 소녀 세실이 세상에 조금씩 눈 떠 가는 과정과 그 속에서 느끼는 방황과 아픔을 섬세하게 그려낸 성장소설. 파리 사교계를 전전하는 홀아비 아버지가 있는 세실은 여러 남자와 술, 담배를 벗삼아 지내는 불량 소녀. 하지만 부녀는 서로의 삶을 인정하며 명랑한 생활을 계속하고, 그러던 중 죽은 어머니의 친구인 안느가 나타나며 아버지는 그녀와 결혼을 결심하는데."
152,153,롤리타,블라디미르 나보코프,"<롤리타>는 중년의 주인공 험버트가 자신의 의붓딸 롤리타에게 느끼는 특별한 감정, 자신만의 환상 속에서 은밀한 기쁨을 누리는 절망적인 사랑을 묘사한 장편소설이다. 이 소설은 1955년 파리에서의 첫 출간 당시 '포르노 소설이다, 아니다'라는 등의 스캔들을 불러일으키며, 외설성 시비로 미국 내 반입 금지 조치까지 취해지는 등 난항을 겪었다. 그러나 이 작품은 '롤리타 신드롬'이란 신조어까지 낳고 출간 삼 주 만에 십만 부가 팔려나가는 등 미국에서 <바람과 함께 사라지다> 이래로 최고의 성공을 거두었다. 현재까지 롤리타는 1천5백만 부 이상 팔린 베스트셀러로 기록되고 있으며 수십 개국에서 번역 출간되어 '어린 소녀를 향한 성적 동경'의 한 상징으로 자리잡았다.빼어난 산문가인 나보코프의 매혹.."
153,154,조제와 호랑이와 물고기들,다나베 세이코,"“그 사랑이 다시 찾아온다”내 인생 잊지 못할 사랑 영화 1위, 3월 17일 재개봉!영화 <조제, 호랑이 그리고 물고기들> 원작싸한 사랑의 기억, 이 시대 최고의 연애소설『조제와 호랑이와 물고기들』은 일본의 국민작가로 존경받는 아쿠타가와상 수상 작가 다나베 세이코가 ‘연애’를 테마로 쓴 단편소설집이다. 독창적인 캐릭터와 간결한 문체, 묘하게도 가슴을 울리는 독특한 연애소설 9편을 엮은 이 연애소설집은 1985년도 출간 당시에도 큰 주목을 받았지만, 표제작 「조제와 호랑이와 물고기들」이 2004년 <조제, 호랑이 그리고 물고기들>이라는 타이틀로 영화화되면서 다시 한 번 소설 독자와 영화 팬들에게 화제가 .."
154,155,금각사,미시마 유키오,책으로 만나는 새로운 세상
