,순위,책이름,저자,줄거리
63,64,시그널 2,김은희,"간절함이 보내온 신호, 드라마를 그대로 옮겨 놓은 대본집!한국형 범죄 수사 드라마의 신기원을 이룬 《시그널》 대본집 제2권. 오래된 무전기 하나로 30년의 시간을 넘나들며 미제 사건을 해결해 나가는 스릴러 장르의 드라마이다. 드라마 시그널의 대사들은 우리의 일상을 절절히 반영해 내었다. 대본집에 담긴 주옥같은 대사들을 통해 다시 한 번 드라마의 진한 감동을 되살려 본다. 드라마를 보면서 궁금했던 점을 다시금 되뇌여 그 참뜻을 이해하고 나면 더욱 큰 재미와 감동을 느낄 수 있다. 드라마를 접하지 않은 이들은 밀도 높은 스토리에 빠져 들게 되고, 드라마를 사랑한 이들에게는 가슴속에 오래 간직할 수 있는 또 다른 여운을 선사할 것이다."
64,65,82년생 김지영,조남주,"공포, 피로, 당황, 놀람, 혼란, 좌절의 연속에 대한 한국 여자의 인생 현장 보고서!문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 열세 번째 작품 『82년생 김지영』. 서민들의 일상 속 비극을 사실적이면서 공감대 높은 스토리로 표현하는 데 재능을 보이는 작가 조남주는 이번 작품에서 1982년생 '김지영 씨'의 기억을 바탕으로 한 고백을 한 축으로, 고백을 뒷받침하는 각종 통계자료와 기사들을 또 다른 축으로 삼아 30대를 살고 있는 한국 여성들의 보편적인 일상을 완벽하게 재현한다.슬하에 딸을 두고 있는 서른네 살 김지영 씨가 어느 날 갑자기 이상 증세를 보인다. 시댁 식구들이 모여 있는 자리에서 친정 엄마로 빙의해 속말을 뱉어 내고, 남편의 결혼.."
65,66,핵폭발 뒤 최후의 아이들,구드룬 파우제방,"핵은 언제나 절실한 화두이다. 핵 문제가 수시로 불거지는 한반도에 우리가 살고 있기 때문이 아니라, 그 어디든 이 지구상에서 핵이 사라지지 않는 한 절실한 화두일 수밖에 없기 때문이다. '미래의 주인'인 아이들에게는 더더욱 그렇다. 그 모든 것을 망각하고 사는 존재들이 바로 우리라는 것은 또 얼마나 두려운 사실인가. 구드룬 파우제방의 『핵 폭발 뒤 최후의 아이들』은 선전포고도, 경고도 없이 독일의 한 도시에서 피어 오른 섬광과 버섯구름으로 시작된다. 그 찰나의 순간에 많은 이들이 죽고 사라진다. 그러나 그들은 차라리 다행스럽다. 진정한 '최후'는 간신히 살아 남은 자들에게 천천히, 더욱 참혹하게 찾아온다. 구드룬 파우제방은 스스로 부른 재앙에 처참하게 스러져가는 인류의 모습을 단 한 점의 동정도 없이 냉정하.."
66,67,공원을 헤엄치는 붉은 물고기,곤살로 모우레,"인생이라는 공원에는 언제나 사랑과 기적이 있다!『공원을 헤엄치는 붉은 물고기』에는 알리시아 바렐라가 그린 12장의 그림과 곤살로 모우레가 선사하는 7편의 이야기가 담긴 어른들을 위한 그림책이다. 사랑싸움을 하는 젊은 커플의 이야기도 있고, 갑자기 세월의 허무함을 느낀 중년 여성의 이야기도 있고, 가난한 예술가의 이야기도 있다. 붉은 물고기가 헤엄치는 공원에서 사람들은 사랑하는 사람을 만나고 기적을 만난다.이 책은 잔잔하고 아름다운 그림으로 채워져 있다. 첫 장면에서 발견한 주인공에게 어떤 일이 일어나는지 다음 장면을 넘겨보자. 첫 장면부터 마지막 장면까지 주인공의 모습을 따라가다 보면 머릿속에 자신만의 이야기가 만들어진다. 글 없는 그림책을 보는 것은 마치 숨은 그림 찾기를 하는 것 같기도 하고, 플립북 애.."
67,68,보건교사 안은영,정세랑,"발랄하고 용감한 여전사이자 동시에 다정하고 유쾌한 언니, 안은영!문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 아홉 번째 작품 『보건교사 안은영』. 참신한 상상력과 따뜻한 이야기로 독자의 사랑을 받아 온 소설가 정세랑의 이번 작품은 수동적이지 않고 주체적이며, 감상적이지 않고 감각적인, 아는 형 삼고 싶은 사립 M고의 보건교사 안은영의 이야기를 담고 있다.특별한 것 없는 직업과 평범한 이름의 안은영은 보통의 보건교사가 아니다. 복 중의 복, 일복 하나는 타고난 그녀는 직업으로 ‘보건교사’ 역할에 충실하면서 동시에 자신만이 볼 수 있는 것들을 처치하고 쫓아내며, 또는 위로하는 ‘퇴마사’의 운명을 받아들인다. 여기에 사립 M고의 한문교사이자 학교 설.."
68,69,오베라는 남자,프레드릭 배크만,"웬만하면 마주치고 싶지 않은 까칠한 이웃 남자, 오베가 나타났다!무엇이든 발길질을 하며 상태를 확인하는 남자. BMW 운전자와는 말도 섞지 않는 남자. 키보드 없는 아이패드에 분노하는 남자. 매일 아침 6시 15분 전 알람도 없이 깨어나 항상 같은 시간, 같은 양의 커피를 내려 아내와 한 잔씩 나누어 마시고 마을 한 바퀴를 돌며 시설물들이 고장 난 것은 없는지, 아니 누군가 고장 낸 것은 없는지 확인하는 남자, 오베. 그런 그의 인생에 균열이 생기기 시작했다.시작은 이렇다. 한 세기의 3분의 1을 한 직장에서 일한 그는 하루아침에 일생을 바친 직장에서 쫓겨나고 만다. 이렇게 된 상황에 반년 전 떠난 아내의 빈자리가 유난히 크게 느껴진다. 늘 같은 일상을 반복해왔던 그이지만 이제는 책임져야 할 사람도, 일자리.."
69,70,그림 형제 동화전집,그림 형제,"『그림 형제 동화전집(완역본)』에는 그림 형제의 작품 210편이 담겨 있다. 《개구리 왕자》 《백설공주》《라푼첼》《헨젤과 그레텔》 등 누구나 한 번쯤 들어봤을 만한 익숙한 동화의 제목이자 오늘날에는 애니메이션, 영화 등의 형태로 끊임없이 재해석되는 이야기들의 공통점은 그림 형제가 약 200년 전 수집했던 이야기들이 원작이라는 점이다. 유럽 지역에 전해 내려오던 이야기 속에서 인간적인 심성의 기원이 무엇인지 밝히고자 노력했던 그림 형제. 그들의 노력으로 시간이 지금까지 많은 사랑을 받고 있는 이야기를 통해 인간 본성의 여러 가지 모습과 색다른 재미를 느낄 수 있다."
70,71,연금술사,파울로 코엘료,"파울로 코엘료의 장편소설 <연금술사>의 일러스트레이션판. 삽화를 담당한 뫼비우스는 <연금술사>의 표지 그림을 그렸던 일러스트레이터이다. 소설의 주요 장면들을 솜씨 좋게 포착한 컬러 삽화가, 각각 독립된 페이지에 실려 있다.<연금술사>는 세상을 두루 여행하기 위해 양치기가 된 청년 산티아고의 '자아의 신화' 찾기 여행담이다. '나르키소스'에 대한 오스카 와일드의 멋진 재해석으로 시작되는 이 소설은, 자칫 딱딱하게 보일 수 있는 제목과는 달리 간결하고 경쾌한 언어들로 쓰여 있어서 물이 흘러가듯 수월하게 읽히는 작품이다.자신이 진정으로 원하는 것이 무엇인지 아는 사람이 세상에 얼마나 될까? 또 안다고 해도, 그 꿈을 포기하지 않고 끝까지 밀고 나갈 수 있는 의지와 끈기를 지닌 사람.."
71,72,책 읽어주는 남자,베른하르트 슐링크,"파격적인 사랑 이야기에 담긴 시대사!케이트 윈슬렛 주연의 영화 《더 리더》의 원작 『책 읽어주는 남자』. 독일 현대 소설을 대표하는 작가 베른하르트 슐링크의 대표작으로, 독일어권 문학 최초로 뉴욕 타임스 베스트셀러 1위에 오르고 각종 문학상을 수상했다. 작가는 이 소설로 인한 문학적 공로를 인정받아 2001년 프랑스로부터 레지옹 도뇌르 훈장을 받았다. 열다섯 살 소년과 서른여섯 살 여인의 파격적인 사랑 이야기를 통해 역사와 인간의 죄의식, 사랑, 윤리에 관한 깊은 통찰을 전한다.길을 지나던 여인 한나의 도움을 받게 된 소년 미하엘. 서로에게 강한 끌림을 느낀 두 사람은 이후 비밀스러운 연인이 된다. 한나는 미하엘과 관계를 갖기 전 책을 읽어달라고 말하고, ‘책 읽어주기, 샤워, 사랑 행위, 그러고 나서 잠시.."
72,73,나미야 잡화점의 기적,히가시노 게이고,"기적과 감동을 추리한다!히가시노 게이고의 차기 대표작으로 손꼽힐 『나미야 잡화점의 기적』『나미야 잡화점의 기적』은 2012년 3월 일본에서 출간되어 큰 화제를 불러일으킨, 우리 시대를 대표하는 작가 히가시노 게이고의 작품이다. 작가가 그동안 일관되게 추구해온 인간 내면에 잠재한 선의에 대한 믿음이 작품 전반에 깔려 있는 이번 이야기에는 그동안 히가시노 게이고 하면 떠올랐던 살인 사건이나 명탐정 캐릭터는 전혀 등장하지 않는다. 그럼에도 불구하고 마치 퍼즐을 맞추어가는 듯한 치밀한 짜임새는 과연 히가시노 게이고의 작품답게 명불허전의 짜릿한 쾌감을 선사하며 감동을 자아내 작가의 고정 독자를 충분히 매료시킨다. “여러분이라면 어떤 고민을 상담하시겠습니.."
73,74,시간을 파는 상점 1,김선영,"시간의 흐름 속에 숨겨진 마법 같은 비밀!제1회 자음과모음 청소년문학상을 수상한 김선영의 작품 『시간을 파는 상점』. 심사위원들의 만장일치로 선정된 당선작으로, 흐르는 시간이라는 소재를 다루고 있다. 소방대원으로 더불어 사는 삶을 실천하다 일찍 세상을 떠난 아빠의 뜻을 이어받은 주인공 온조. 인터넷 카페에 ‘크로노스’라는 닉네임으로 ‘시간을 파는 상점’을 오픈해 손님들의 어려운 일을 대신 해주면서 자신의 시간을 판다. 범인으로 지목된 아이가 학교 옥상에서 떨어져 죽은 PMP3 도난 사건에 대한 의뢰, 할아버지와 맛있게 식사를 해달라는 엉뚱한 의뢰, 천국의 우편 배달부가 되어 달라는 의뢰 등 여러 가지 의뢰가 이어진다. 그러던 중 PMP3 분실 사건으로 죽음에 이를 뻔한 친구가 밝혀지고 온조와 친구들에게 예상.."
74,75,픽션들,호르헤 루이스 보르헤스,"현대 소설의 패러다임을 창조한 보르헤스의 미학 세계!아르헨티나 문학을 대표하는 작가 호르헤 루이스 보르헤스의 소설집 『픽션들』. 1941년에 발표한 '두 갈래로 갈라지는 오솔길들의 정원'과 1944년에 발표한 '기교들'에 수록된 17편의 단편을 모은 책이다. 미셸 푸코, 자크 데리다, 움베르트 에코 등 현대 지성사의 핵심적인 인물들에게 큰 영향을 끼친 보르헤스의 세계관과 미학을 드러낸 대표작이다. 또한 일생 동안 장편소설을 한 편도 남기지 않은 것으로 유명한 단편 전문 작가 보르헤스의 문학적 정수를 엿볼 수 있다. 허구를 주제로 한 단편들은 가상과 실재, 기억과 환상의 경계를 넘나들며 생경하고 낯선 풍경을 보여준다."
75,76,두근 두근 내 인생,김애란,"두근두근 이 여름, 가슴 벅찬 사랑이 시작된다!김애란의 첫 장편소설 『두근두근 내 인생』. <달려라, 아비>, <침이 고인다> 두 권의 소설집만으로 문단과 독자들에게 많은 사랑을 받는 작가이자 한국문단의 차세대 대표작가로 떠오른 김애란. 모두가 기다리던 그녀의 첫 장편소설이 출간되었다. 가장 어린 부모와 가장 늙은 자식의, 우리 모두의 가슴을 두근거리게 하는 청춘과 사랑에 대한 눈부신 이야기가 펼쳐진다. 벅찬 생의 한순간과 사랑에 대한 반짝이는 통찰이 돋보인다."
76,77,브리다,파울로 코엘료,"당신은 이번 생에서 무엇을 찾고 있나요?<연금술사>로 세계적인 베스트셀러 작가로 우뚝 선 작가 파울로 코엘료의 신작『브리다』. <연금술사> 직후에 집필한 운명과 사랑에 관한 가장 아름다운 이야기로, 운명을 찾아나선 스무 살 브리다가 사랑을 찾고 더 나아가 자아를 발견하면서 변모해가는 가슴 뭉클한 여정을 그렸다. 주인공 브리다는 자기 발견의 여정에서 한 현자를 만나 두려움을 극복하는 법을 배우고, 한 여인을 통해 세상 속에 숨어 있는 음악에 맞춰 춤추는 법을 배운다. 그 과정을 통해 작가는 삶의 의미를 생각하고, 성찰할 수 있도록 이끌어준다. ☞ 북소믈리에 한마디! 운명을 찾아 떠나는 스무 살 브리다의 눈부신 자아 발견의 여정에 작가 특유의 신비주의와 리얼리즘을 적절히 결합해 충만하고 영.."
77,78,나의 라임 오렌지나무,J. M. 데 바스콘셀로스,"전 세계인을 울리고 웃긴 다섯 살 소년 제제의 이야기!사랑스런 꼬마 악동 제제의 슬프고 아름다운 동화 『나의 라임오렌지나무』. 너무나 일찍 삶에 숨겨진 슬픔을 발견한 5살 꼬마 제제의 이야기를 그린 전 세계의 베스트셀러다. 한국에서 처음으로 《나의 라임오렌지나무》를 출간했던 '동녁'에서 작가와 정식으로 계약하고 기존의 오역된 부분을 바로잡아 새롭게 출간했다. 제제의 아름답고도 가슴 저미는 성장 이야기와 함께 제제에게 진실된 사랑과 우정을 가르쳐준 뽀르뚜가와의 장난스런 만남과 고통스런 이별까지 따라간다. 감성적인 삽화가 책의 감동을 더해주고 있다.이 책이 오랜 시간 사랑받을 수 있었던 이유는 고단한 우리의 삶과 닮아 있어 함께 슬퍼 할 수 있었고, 어린 주인공이 자아를 발견해 나가는 동안 독자들도 함께 성장할.."
78,79,연애 소설 읽는 노인,루이스 세풀베다,"개발이라는 미명을 내세운 인간들에 의해 변해가는 아마존을 위한 서사시!루이스 세풀베다의 이름을 알린 대표작 『연애 소설 읽는 노인』. 중남미 포스트붐 세대의 선두 주자이자 1990년대 라틴아메리카 문학의 새로운 부흥을 이끈 기수 루이스 세풀베다의 환경 소설이다. 기존의 소설에서 찾기 힘든 환경이나 생태계 문제를 다룸에도 불구하고 그러한 테마가 얼마든지 픽션으로 형상화될 수 있고 문학 작품으로 성공할 수 있다는 가능성을 보여 주는 작가 루이스 세풀베다가 긴 여정 같은 자신의 생활을 통해 보고 들은 한 인간의 삶을 예민하고 감수성 넘치는 언어로 형상화한 작품이다.세계적인 환경 운동가이자 아마존의 수호자인 치코 멘데스에게 바쳐진 이 작품에서 치과 의사의 걸죽한 입담을 빌려 라틴 아메리카의 현실을 질타하는가 하면,.."
79,80,내 영혼이 따뜻했던 날들,포리스트 카터,"인디언의 세계를 어린 소년의 순수한 감각으로 묘사한 작품으로 전미 서점상 연합회가 설정한 제1회 에비상 수상작. 따뜻한 할아버지의 손으로 표현되는 소박하고 진실한 인디언의 삶과，위선과 탐욕으로 점철된 백인사회의 모습이 선명한 대비를 이루는 이 작품은, 첨단 문명의 시대 속에서 정작 중요한 것이 무엇인지를 잊고 살아가는 현대인들에게 경각심을 일깨워준다."
80,81,두사람,이보나 흐미엘레프스카,"세상에서 가장 가까운 어떤 두 사람의 이야기『두 사람』은 세상에서 가장 가까운 두 사람 사이에 깃든 의미를, 멋진 비유에 담아 아름답게 설명하는 그림책입니다. 그 안에는 세상의 수많은 '두 사람'들이 서로의 사이에 대해 탐구하고 이해하길 바라는 작가의 마음이 고스란히 담겨 있습니다. 서로 같은 곳을 바라보기도 하고 다른 곳을 바라보기도 하는 '두 사람'의 관계를 절묘하게 표현한 그림이 돋보입니다. [양장본] ☞ 이런 점이 좋습니다!이 책에는 짧은 글이지만 가슴을 울리는 글이 실려 있습니다. 오히려 그림을 통해 '두 사람'의 관계성을 곰곰이 생각해 볼 수 있습니다. 반쪽만 있는 남자와 여자의 옷, 모양과 색깔이 다른 열쇠와 자물쇠을 비롯해 나와 상대방, 그렇게 두 사람의 관계성을 깊이 있게 사유할 수 있는 그.."
81,82,모든 것이 산산이 부서지다,치누아 아체베,"2007년 부커 상 수상 작가, 치누아 아체베 대표작폭력적인 서구 세력에 맞서 부족의 문화와 풍습을 지키려는 한 남자의 숭고한 이야기. 아프리카 원주민들이 지켜 오던 생활과 문화가 서구 세력의 침입에 의해 서서히 몰락하는 과정을 생생하게 묘사한 이 작품은 아프리카 탈식민주의 문학의 고전이라 불린다.19세기 말 아프리카, 우무오피아 마을의 오콩코는 성격이 불같고 공격적이며 권위적인 사람이다. 아버지가 불명예스럽게 죽은 후 그는 부와 명예를 회복하기 위해 부지런히 일하며, 자신의 힘을 과시하기 위해 전쟁에도 앞장선다. 하지만 오콩코는 예기치 못한 실수를 계기로 마을에서 추방당하고, 칠 년이 지난 후에야 마을로 돌아오게 된다.그런데 그가 돌아왔을 때 마을은 백인 교회를 중심으로 유입된 서구 문명 때문에 혼란에 휩.."
82,83,허삼관 매혈기,위화,"설령 목숨을 파는 거라 해도 난 피를 팔아야 합니다!가족을 위해 피를 파는 한 남자의 고단한 삶을 특유의 풍자와 해학으로 그려낸 중국 작가, 위화 장편소설. 한평생 피를 팔아 가족을 위기에서 구해낸 속 깊은 아버지 허삼관을 주인공으로 한 소설로, 삶의 고단함과 슬픔을 능청스럽게 껴안는 익살과 해학 그리고 그 뒤에 자리한 인간에 대한 속 깊은 애정을 만날 수 있다. 성안의 생사공장에서 누에고치 대주는 일을 하는 노동자 허삼관. 그의 삼촌들이 사는 마을에서는 피를 안 팔아본 남자는 여자를 얻을 수 없다. 결혼의 조건으로 가장 중요한 것은 건강인데 피를 팔 수 있다는 것은 건강하다는 증거이기 때문이다. 그래서 허삼관은 그 마을 사람인 근룡이와 방씨를 따라 피를 팔러 성안의 병원으로 간다. 피를 팔러 가는 날은 아.."
83,84,이성과 감성,제인 오스틴,"셰익스피어에 이어 ‘지난 천 년간 최고의 문학가’로 꼽힌 제인 오스틴의 첫 번째 소설. 19세기 초 잉글랜드. 엘리너와 메리앤 대시우드 자매는 아버지가 세상을 뜨고 유산이 의붓오빠인 존에게 넘어가자 하루아침에 무일푼이 되어 어린 동생, 어머니와 함께 여태껏 살아왔던 서식스의 저택을 쫓겨나다시피 떠나게 된다. 그들이 새 거주지로 떠나기 전 엘리너는 올케 패니의 남동생 에드워드를 사랑하게 된다. 그러나 그녀가 자신의 감정을 표현하기도 전에 이를 못마땅하게 여긴 패니가 자기 남동생을 런던으로 돌려보낸다. 그곳에서 그는 자신에게 맞는 훌륭한 배필을 만나 결혼해야 한다. 대시우드 가족들은 새로 이사한 시골집에 적응해 나가고, 엘리너는 에드워드로 인한 괴로움을 감추고 가족의 경제를 책임지며 살아간.."
84,85,백년 동안의 고독,가브리엘 가르시아 마르케스,"라틴아메리카의 특수한 사회구조를 환상적으로 직조해낸 가브리엘 마르케스의 대표작!노벨문학상 수상작가 가브리엘 마르케스의 대표 장편소설 『백년 동안의 고독』. 1982년 노벨문학상 수상작으로, 중남미 문학의 특징인 '마술적 리얼리즘'의 원조격인 소설로 평가받는다. 마을에서 도시로 팽창하다가 신기루처럼 사라져간 마콘도를 무대로 한 집안의 백년에 걸친 역사와, 기이한 자녀를 에워싸고 일어나는 이야기를 엮은 작품이다. 라틴 아메리카의 복합적인 인종, 문화, 역사적 전통과 현실을 배경으로 하여, 라틴아메리카의 특수한 사회구조를 생생하게 그려냈다."
85,86,달콤 쌉싸름한 초콜릿,라우라 에스키벨,"멕시코의 소설가 라우라 에스키벨의 첫 번째 장편 소설. 22년동안 이어진 애절한 사랑 이야기를 1월부터 12월까지 볼 수 있는 요리책처럼 독특하게 구성한 장편 소설 <달콤 쌉싸름한 초콜릿>은 멕시코 요리 특유의 냄새와 맛을 통해 에로틱한 상상을 불러일으킨다. 티타는 '막내딸은 죽을 때까지 어머니를 돌봐야 한다.'는 가족의 전통 때문에 연인인 페드로와 결혼하지 못한다. 페드로는 티타와 한 집에 있기 위해 티타의 언니인 로사우라와 결혼하고, 티타와 페드로의 사랑은 더욱 애틋해진다. 요리 재료와 시간에 마법을 걸어 부엌을 은밀하고 신비로운 세계로 창조해낸 티타는 자유와 평등, 그리고 자신의 목소리와 자신만의 사랑을 요리와 함께 완성하는데……. 음식을 자신을 표현해내는 수단으로 삼고 있는 티타의 사랑에 .."
86,87,네루다의 우편배달부,안토니오 스카르메타,"노벨문학상 수상작가인 파블로 네루다와 작은 어촌 마을의 우편배달부가 이어간 우정을 그린 영화,「일 포스티노」의 원작소설. 사랑에 빠진 우편배달부에게 시를 가르쳐주어 끝내 그 사랑을 이루게 한 시인의 모습이 인상적이다. 새로운 삶과 사랑을 이끌어내는 '문학의 힘'을 노래한 소설이자, 위대한 시인 네루다에게 바치는 헌사. 더불어 칠레의 민주화를 염원한 투쟁의 이야기이기도 하다. 때는 1970년대 초반. 칠레의 작은 어촌 마을에서 우편 배달부로 일하는 마리오는 마을의 가장 고명한 주민인 파블로 네루다에게 우편물을 전달하는 것이 유일한 업무이다. 아름다운 소녀 베아트리스를 보고 첫눈에 사랑에 빠진 마리오는 네루다에게 소녀를 위한 시를 써달라고 조른다. 네루다는 우체부에게 메타포를 가르쳐주어 베.."
87,88,죽은 시인의 사회,N.H.클라인바움,"◐ 획일화되고 출세만을 고집하는 교육의 말로를 분명히 보여주는 소설졸업생 70% 이상이 미국의 최고 명문 대학으로 진학하는 웰튼 아카데미, 전원 기숙사 생활을 하면서 철저하고 엄격한 교육을 받는 영재 고등학교다. 목표는 오직 명문대 진학. 학생들에게 스스로의 결정과 판단이란 존재하지 않는다. 목표 설정과, 그 목표에 대한 정당성은 학교와 부모가 내려줄 뿐이다. 그런 웰튼 아카데미에 존 키팅이 국어 교사로 부임하면서 변화가 일어나기 시작한다. 키팅 역시 웰튼 아카데미 출신이지만 색다른 교육 방법으로 학생들을 사로잡는다. 앞날을 스스로 설계하고 그 방향대로 나아가는 일이야말로 세상 그 어떤 것보다 소중하다 고 가르친다. 그리고 그것이 얼마나 어려운 일인지 학생들 스스로 깨우치게 한다. 획일화되고 출세만을 고집하.."
88,89,콜레라 시대의 사랑 1,가브리엘 가르시아 마르케스,"노벨 문학상 수상 작가 가르시아 마르케스의 장편소설. 한 여자와 두 남자의 사랑을 둘러싼 사랑과 죽음,그리고 욕망의 연대기를 다룬 이 러브스토리 뒤에는 라틴아메리카 사회에 관한 강한 비판과 풍자가 숨어 있느며, 제목이 암시하는 사랑과 늙음과 질병이라는 주제와 더불어 근대화와 자살 등과같은 사회적 문제에 대한 탐구와 역시가 담겨있다."
89,90,콜레라 시대의 사랑 2,가브리엘 가르시아 마르케스,"노벨 문학상 수상 작가 가르시아 마르케스의 장편소설. 한 여자와 두 남자의 사랑을 둘러싼 사랑과 죽음,그리고 욕망의 연대기를 다룬 이 러브스토리 뒤에는 라틴아메리카 사회에 관한 강한 비판과 풍자가 숨어 있느며, 제목이 암시하는 사랑과 늙음과 질병이라는 주제와 더불어 근대화와 자살 등과같은 사회적 문제에 대한 탐구와 역시가 담겨있다."
90,91,크리스마스 캐럴,찰스 디킨스,"2003년 10월 부터 소개되었던 비룡소 클래식 여섯 번째 시리즈인 크리스마스 캐럴이 완역으로 출간되었다. 19세기를 풍미한 찰스 디킨스의 이 작품은 스크루지라는 독특하고 개성적인 인물을 창조하여 가장 유명한 크리스마스 소설이 되었다. 구두쇠 영감 스크루지가 크리스마스 유령들을 만나 자기의 과거, 현재, 미래의 모습을 보고 나서 자기의 잘못을 뉘우치고 자비롭고 너그러운 사람이 된다는 내용의 클래식 동화다."
91,92,"베로니카, 죽기로 결심하다",파울로 코엘료,"세계적 밀리언셀러 작가, '소설의 연금술사'로 불리는 파울로 코엘료의 신작 소설. 매마른 일상에 빠져 인생의 꿈을 잃어버린 베로니카는 삶을 버리고자 결심한다. 그러나 네 병의 수면제를 들이키고 다시 눈을 뜬 곳은 정신병원 '빌레트'. 그곳에서 그녀는 세상에서는 만날 수 없는 '다른' 사람들을 만나게 된다. 일주일 남짓한 생의 시간 속에서, 그리고 자신이 선택한 죽음과 선택치 않은 죽음 사이에서 사랑을 알게 되고, 생을 빛으로 채우기 시작하는데.. 명성에 걸맞는 열정이 깃든 시적인 문체로 생의 드라마을 이끄는, 작가의 능력이 돋보이는 소설이다."
92,93,영혼의 집 1,이사벨 아옌데,"미래의 일을 예지할 수 있는 클라라, 소작인의 아들을 사랑한 블랑카, 인정받지 못한 사랑에서 태어나 혁명의 시대를 헤쳐가는 알바. <영혼의 집>의 여성들은 피와 고통의 라틴 아메리카 역사 속에서 그러한 현실을 극복적으로 극복하고자 한다. 즉, 이 작품에서는 자신의 삶을 찾아가는 자유로운 여성상을 제시한다. 라틴 아메리카 최고의 작가로 평가받는 아옌데의 4대에 걸친 트루에바 가문의 사랑과 죽음, 자유와 혁명의 이야기. (제1권)"
93,94,영혼의 집 2,이사벨 아옌데,"미래의 일을 예지할 수 있는 클라라, 소작인의 아들을 사랑한 블랑카, 인정받지 못한 사랑에서 태어나 혁명의 시대를 헤쳐가는 알바. '영혼의 집'의 여성들은 피와 고통의 라틴 아메리카 역사 속에서 그러한 현실을 극복적으로 극복하고자 한다. 즉, 이 작품에서는 자신의 삶을 찾아가는 자유로운 여성상을 제시한다. 라틴 아메리카 최고의 작가로 평가받는 아옌데의 4대에 걸친 트루에바 가문의 사랑과 죽음, 자유와 혁명의 이야기. (제2권)"
94,95,흑설공주 이야기 1,바바라 G.워커,"세계적인 여성학자 바바라 G. 워커가 재해석한 신화 이야기. 이 책은 1998년 새로운 동화읽기의 시초가 되었던 『흑설공주 이야기』의 후속작으로, 『흑설공주 이야기』속에 수록되었던 내용 중 신화부분만 따로 떼어 출간했던 『바다 마녀를 사랑한 남자』의 개정판이다. 이 책에 등장하는 여신들은 기존 신화에서 남성을 중심으로 짜여진 신들의 세계를 새롭게 바꾸어나간다. 선과 악, 생명과 죽음, 남성과 여성, 귀족과 평민, 신과 인간 등 세계를 이해하는 기존의 이분법적 틀을 해체하고 전혀 새로운 시각으로 옛 이야기를 재해석하는 신선한 상상력이 돋보인다."
95,96,연금술사,파울로 코엘료,"전세계 8천 5백만 독자가 읽은 전설적인 베스트셀러마음의 목소리에 귀기울이는 것이 얼마나 중요한지 증언하는 고귀한 성서, 진정 자기 자신의 꿈과 대면하고자 하는 모든 이를 축복하는 희망과 환희의 메시지, 세계적인 밀리언셀러 작가 파울로 코엘료의 『연금술사』가 신작 『히피』 출간과 함께 새로운 표지로 선보인다. 현재까지 전세계 81개 언어로 번역되어 8천 5백만 독자의 사랑을 받았고, 2009년 ‘한 권의 책이 가장 많은 언어로 번역된 작가’로 기네스북에 기록된 『연금술사』는 파울로 코엘료가 명실상부 세계적 작가의 명성을 얻게 한 작품이다. 주인공 양치기 산티아고를 중심으로 영혼의 연금술이라는 주제를 간명하게 표현한 이번 특별판은 2018년 12월부터 한정 수량으로 판매된다."
96,97,괭이부리말 아이들,김중미,"제4회 '좋은 어린이책' 원고공모 창작부문 대상 수상작으로, 창비아동문고로 선보여 독자들과 평단의 호평을 받은 바 있는 작품으로, 어린이뿐 아니라 청소년 및 성인 독자들도 읽을 수 있도록 양장본으로 새로이 선보인다. 또한 2001년 11월부터 방송되는 MBC의 새 오락프로그램 '느낌표'의 '책 책 책! 책을 읽읍시다!' 코너에서 국민필독서로 선정되어, 한층 많은 독자들에게 사랑받을 것으로 기대된다. '느낌표'는 '이경규가 간다' '칭찬합시다' 등 공익성이 강한 오락프로그램을 만들어온 MBC TV의 김영희PD가 영국유학을 마치고 돌아와 새로 만드는 프로그램으로, 이경규, 김용만, 신동엽, 유재석, 박경림 등 모두 다섯명의 인기 정상 MC들이 각자 개성을 발휘한 한 꼭지씩을 맡아 진행한다. 오락프로그램이지만 공.."
97,98,거미 여인의 키스,마누엘 푸익,"마르케스 이후 라틴 아메리카문학 최고의 문제작. 비좁고 음습한 감방, 낭만적인 동성애자와 냉소적인 게릴라의 만남, 싸구려 멜로 드라마를 매개로 펼쳐지는 성과 억압, 사랑과 편견, 자유와 폭력에 대해 들려주는 매혹적인 장편 소설."
98,99,백년의 고독 1,가브리엘 가르시아 마르케스,1982년 노벨문학상 수상작가의 세계적 장편소설. 라틴아메리카 대륙이 겪어야했던 역사의 리얼리티를 소멸 해가는 부엔디아 가문의 운명과 함께 들려주는 작품으로 블랙유머와 패러디를 통해 거센 운명의 역사를 헤 쳐 나가는 인물군상의 역정을 드라마틱하게 그렸다.
