,순위,책이름,저자,줄거리
77,78,닥터 노먼 베쑨,"테드 알렌, 시드니 고든","세계를 감동시킨 휴머니스트 의사 노먼 베쑨의 일대기!역사 속 인물을 만나는 「역사인물찾기」 제1권 『닥터 노먼 베쑨』. 세계를 감동시킨 휴머니스트 의사 노먼 베쑨의 일대기다. 결핵의 수술적 치료법 개발 등으로 의학발전에 기여한 탁월한 흉부외과의사일 뿐 아니라, 스페인의 반파쇼 투쟁부터 중국의 신민주주의혁명과 항일투쟁 등에서 전시분야 의료의 개척자로서 활동한 노먼 베쑨의 행적을 생생하게 실었다. 아울러 보건의료인이 본받아야 할 참모습의 전형을 발견할 수 있다. 노먼 베쑨이 남긴 일기와 회고담과 편지 등을 적절하게 인용했다."
78,79,맨발,문태준,"문태준 시인의 두 번째 시집.『맨발』. ‘문예중앙‘ 신인문학상에 시 <처서>를 포함한 시 10편이 당선되어 1994년 문단에 등단한 문태준 시인의 시 60편을 담았다. 시인의 시에서는 풍경과 사람이 분리되지 않는다. 인생, 또는 세월에 대한 일말의 무상감을 드러내고 있는 이 시집은 낡거나 사라져가는 것들에게 시선을 던지고 추억 속의 풍경을 되새긴다. 그리고 어머니의 세계로 수렴되는 상상력의 흔적을 곳곳에 숨겨놓는다."
79,80,나의 친구 마키아벨리,시오노 나나미,"이 책은 크게 세 부분으로 이루어져 있다. 제1부에서는 마키아벨리가 정치에 입문하기 전의 유년기와 청년기의 일들이 다루어지고 있으며, 제2부에서는 1498년 28세의 나이로 제2서기국 서기장으로 임명되어 피렌체의 외교관으로서 유럽 각지를 주유하던 일들이, 그리고 제3부에서는 반메디치파로 몰려 관직에서 쫓겨난 뒤 『군주론』을 비롯한 저술들을 쓰면서 이탈리아와 유럽의 정세에 대해 숙고하던 일들이 그려진다. 책의 도입부에서부터 독자들을 힘 있게 끌어들이고 있는 저자는 마키아벨리가 마치 우리 곁에 있는 것 같은 느낌을 갖게 한다. 권모술수의 이론가로만 잘못 알려진 마키아벨리를 새롭게 이해하는 데 도움이 될 것이다.이 책은 각각의 단행본으로 출간되었던 시오노 나나미의 르네상스 관련 저작들을 새로운 판형과 시오노 나나.."
80,81,가우디 공간의 환상,안토니 가우디,"가우디의 건축세계를 소개한 책. 가우디가 청년시절에 쓴 논문초고와 만년에 그를 방문했던 이들에게 남긴 말들을 모아, 그의 건축세계를 엿볼 수 있는 141개에 이르는 컬러 도상을 함께 실었다. 또한 가우디 생애와 함께 작품에 대한 설명을 수록했다."
81,82,내 아버지로부터의 꿈,버락 오바마,"'검은 폭풍'을 일으키다!미국에서 아프리카계 혼혈로 태어나 세상의 편견과 차별을 딛고 존경받는 정치인이 된 버락 H. 오바마의 자서전 『내 아버지로부터의 꿈』. 1961년 8월 4일 아프리카 케냐 출신 흑인 아버지와 미국 캔자스 출신 백인 어머니 사이에서 태어나, 인도네시아와 하와이를 오가며 혼란스러운 청소년기를 보낸 아프리카계 혼혈 소년이 있었다. 시카고에서 공동체 활동가로 일하며 빈민의 삶을 위한 조직을 만들어 성공을 이룬 그는, 진정한 변화를 위해서는 미국의 법과 정치를 바꿔야 한다는 사실을 깨닫고 시카고의 인권 변호사가 되었다. 그후, 그는 다섯 번째 흑인 상원 의원이 되었으며, 미국 최초의 대통령 흑인 후보가 되어 2008년 대선을 기다리고 있다. 그가 바로 '버락 H. 오바마'다. 이 책은 뛰어난.."
82,83,나라 없는 사람,커트 보니것,"미국 최고의 풍자가 커트 보니것의 유쾌한 회고록!미국 최고의 풍자가이며, 휴머니스트이자 에세이스트로, 소설가로도 활동한 커트 보네거트의 유쾌한 회고록, 『나라 없는 사람』. 1922년 독일계 이민자의 아들로 태어나 블랙유머를 대표하는 마크 트웨인의 계승자로서 리처드 브라우티건, 무라카미 하루키, 더글러스 애덤스 등의 작가들에게 문학적 영향을 준 저자의 유쾌한 회고록이다. 이 책은 장르의 경계를 허무는 포스트모던한 소설 <타임 퀘이크> 등을 발표해온 저자가 소설가로서 은퇴한 후 2004년에 출간한 마지막 저서다. 어린 시절에 얽힌 추억을 들려주고, 문예창작을 위한 충고를 건네고, 미국의 대가족에 대해 살펴보는 등 유머러스한 이야기를 담고 있다. 또한 미국을 대표하는 최고의 반전 작가답게, 제2차 세.."
83,84,"괜찮다, 다 괜찮다","공지영, 지승호","남들 눈에 삐뚤어져 보여도, 벌레 먹어 보여도, 괜찮아, 넌 어느 순간에도 원본이야! 가슴 있는 자의 심장을 터뜨리는 작가, 공지영의 육성으로 듣는 '위로 3부작' 완결편!'공지영 신드롬'이라는 말이 생겨날 정도로 한국 사회에 영향력을 발휘하는 작가 공지영. 18권의 책으로 통권 700만 부 이상의 판매고를 올린 베스트셀러 작가이자, 가장 사랑받는 작가, 앞으로 가장 기대되는 작가 설문 조사에서 1위 또는 상위권에 늘 오르는 그녀를 인터뷰어 지승호가 만났다. 이 책은 장하준, 우석훈, 신해철 등 대한민국 파워 인터뷰이들과 인터뷰한 내용을 꾸준히 책으로 엮어온 전문 인터뷰어 지승호가 그동안 독자들이 궁금해했던 이야기, 듣고 싶었던 이야기를 모아서 그들을 대신해 공지영에게 질문한 인터뷰집이다. <사랑 후에.."
84,85,살아 남은자의 슬픔,베르톨트 브레히트,"오랫동안 소문으로만 알려져 있던 독일 작가 브레히트의 시집 『살아 남은자의 슬픔』. 세계적인 명성을 얻은 브레히트는 폭넓은 창작 활동을 하며 상당 분량의 시를 남겼는 이 책은 그런 그의 시 47편을 수록한 시집이다. 국내에서 1989년까지 사회주의자라는 명목으로 금서 조치되었다가, 해금된 후로는 극작가이면서 뛰어난 서정시인으로 아낌없는 사랑을 받은 현대 시문학의 역사에서 결코 빼놓을 수 없는 브레히트의 시를 만나보자."
85,86,충만한 힘,파블로 네루다,"노벨문학상 수상 시인, 파블로 네루다의 시집사랑과 열정의 시인 파블로 네루다가 만년에 쓴 시집『충만한 힘』. 독재가 곤살레스 비델라의 정권이 무너진 뒤, 네루다가 1953년 칠레로 돌아와 십여 년간 산티아고 해안가의 작은 섬에서 휴식을 취하는 동안에 쓴 시들을 묶은 것이다. 달콤한 언어와 풍부한 상상력으로 세상의 모든 존재들에게 말을 거는 네루다의 소박한 이웃에 대한 사랑, 자연에 대한 경의, 시인으로서의 각성 등을 동시에 느낄 수 있다.《민중》은 1962년 칠레 공산당대회에 공산당 중앙위원으로 참석한 네루다가 공식행사의 하나로 낭독한 것으로, 인간의 연대에 대한 그의 입장을 요약하고 있다. 칠레의 과거와 현재의 노동자들을 묘사한 이 시는 그의 후기 작품들 중 가장 뛰어난 작품으로 평가받는다. 또한, 이슬라.."
86,87,삶의 의미를 찾아서,빅터 프랭클,"신경정신과 의사이자 로고테라피 학파를 창시한 빅터 프랭클의 초청 강연 내용을 정리한 책. 다른 정신요법과 구별되는 로고테라피 체계의 고유한 특징에 대해 설명하고 있다. 로고테라피를 이루고 있는 3대 근원을 밝히고, 로고테라피의 특성을 들면서 새로운 가치관을 세워야 한다고 설명한다. 로고테라피가 전통과 가치관이 혼란스러워지고 있는 현대에 필요한 정신의학이라 작가는 말하고 있다. 이 책은 넓게는 삶의 의미에서부터 좁게는 일상의 일에까지 '산다는 것의 의미'를 말해준다. 심오한 주제임에도 불구하고 저자는 이를 자신의 풍부한 경험으로 재미있고 쉽게 풀어가면서 두고두고 음미할 수 있게 해준다."
87,88,"붓다, 나를 흔들다",법륜,"붓다를 만나 변화된 사람들의 이야기를 담은 책. 2005년 봄에 불교방송에서 마련한 100일 특별 법문에서 법륜 스님이 '부처님의 교화 이야기'를 중심으로 법문한 내용 중 32편을 선별하여 엮었다. 교사로서의 붓다의 면모를 전해주고, 변화된 사람들의 사례를 통해 지금의 나는 어떻게 살아야 할지 그 길을 구체적으로 밝혀준다.법륜 스님은 각 이야기에 담긴 붓다의 지혜를 오늘날 우리의 삶과 연결지어 잘 받아들일 수 있도록 설명하고 있다. 불자뿐만 아니라 행복과 평화를 꿈꾸는 사람이라면 누구나 쉽게 읽을 수 있게 정리하였으며, 간결하면서도 구수한 입담을 통해 잔잔한 감동을 전해준다. 1부에는 개인 차원의 깨달음에 관한 이야기들을, 2부에는 세상과의 관계를 어떻게 풀어갈지에 대한 지혜를 얻을 수 있는 사례들을 수록하.."
88,89,여자 혼자 떠나는 걷기 여행 1,김남희,"베트남, 중국, 인도 등 안 가본 곳 없이 다 간 세계여행가 김남희씨가 이번에는 어깨에 힘을 뺐다. 여행의 모토는 '걸을 수 있을만큼 걸어가며 존재의 깊이를 확인한다'는 것. 그 여정은 전남 땅끝마을에서부터 통일전망대까지 이어진다. 남북길을 도보로 여행한 것이니만큼 힘든 것이 당연하다. 발의 물집이 터져 말못할 고생을 겪는 것은 다반사이고(책에는 물집을 해결하는 민간요법이 등장한다. 말로는 못하니 직접 확인하시길!), 허름한 마을회관에서 잠을 설치기도 하고, 심지어 대관령 옛길에서 길을 잃고 가까스로 휴대폰이 연결되는 지점에서 119에 연락해 구출되기도 한다.그러나 정작 이런 고생들은 그녀에게 있어서 가장 중요한 문제는 아니다. 혼자 떠나는 여행이 그렇듯 자신의 인생과 세상에 대해 반추하며 그동안 몰랐던, .."
89,90,듀이,"비키 마이런, 브렛 위터","당신의 인생을 따뜻하게 안아줄 기적 같은 사랑의 힘2009 뉴욕타임스 베스트셀러 1위, 전 세계에 '듀이' 열풍을 불러일으킨 감동 실화!『세계를 감동시킨 도서관 고양이 듀이』는 버려진 고양이 한 마리가 가져온 기적과도 같은 일들을 들려주는 이야기다. 경제적 위기를 겪으며 희망이 사라져가고 있었던 스펜서 마을, 그곳의 공공 도서관에서 19년 이상을 보낸 고양이 한 마리가 어떻게 미국의 한 시골 마을에 생기를 불어넣고 온 동네를 하나로 묶어주었으며 그곳을 세계적으로 유명한 장소로 만들 수 있었는지를 소개하였다.1988년 1월 18일은 전형적인 아이오와 겨울의 아침이었다. 엄청난 냉기가 스며들고 매서운 추위로 뼛속까지 얼어붙을 것 같던 그날, 스펜서 공공 도서관의 사서 비키 마이런은 도서 반납함에 버려져 있었던 .."
90,91,백석 시전집,백석,"백석 시인의 미발굴 61편의 시와 7편의 산문을 첫 시집 <사슴> 수록 시 33편과 나란히 묶어 백석 문학의 전모를 한눈에 살필 수 있게 하였고, 자세한 연보와 참고문헌, 600여 개가 넘는 북방 사투리에 대한 낱말 풀이를 붙였다. 편자인 이동순 교수의 해설은 민족주체의 정신으로 모국어를 지키고 북방정서를 빼어나게 형상화한 백석 시에의 접근을 돕는다."
91,92,디아스포라 기행,서경식,"전세계에 흩어져있는 코리언 디아스포라 600만명 가운데 한 명인 재일교포 2세 서경식이 20년간 런던, 잘츠부르크, 카셀, 브뤼셀, 런던, 파리, 한국의 광주 등을 여행하며 접한 디아스포라적 삶의 유래와 그 의미를 탐색한 책. 저자 서경식은 1970년대 재일 한국인 유학생 간첩사건에 연루되어 19년, 17년의 옥고를 치렀던 서승, 서준식 형제의 동생이다. 형들을 옥바라지하면서 디아스포라의 뼈아픈 고통을 느낀 그가 지구촌 디아스포라 예술인들을 바라"
92,93,네가 어떤 삶을 살든 나는 너를 응원할 것이다,공지영,"소설가 공지영이 오늘을 사는 모든 이들에게 전하는 응원의 메시지공지영 산문집 <네가 어떤 삶을 살든 나는 너를 응원할 것이다>. 소설가 공지영이 2년 만에 펴낸 이 산문집은 소설「즐거운 나의 집」의 연장선상에 있는 책이다.「즐거운 나의 집」의 주인공 위녕에게 보내는 편지글 형식으로 구성되어 있다. 여기서 위녕은 단순히 소설 속 허구의 인물이 아닌 작가의 실제 딸이다. 공지영은 작가로서의 입장을 버리고, 평범한 엄마의 마음으로 딸 위녕을 대한다. 이 책은 작가가 10대를 지나 청년기에 들어서 새로운 세상에 눈을 뜨는 딸 위녕에게 전하는 응원의 메시지를 담고 있다. '어머니 공지영'은 충고나 잔소리 대신 진솔한 경험담을 바탕으로 사랑에 대해, 우정에 대해, 직업에 대해, 삶에 대해 이야기한다. 딸과 .."
93,94,강수돌 교수의 '나부터' 교육혁명,강수돌,"성적이 상위권에 들지 못하는 아이는 인생의 패배자가 되는 교육. 이런 각박한 우리의 교육 현실을 비판하며 참교육을 외친다. 그러나 막상 내 아이의 일이라면... 이 책은 참교육을 위해서는 학생인 나부터, 교사인 나부터, 학부모인 나부터 변해야 함을 주장한다. 우리 교육의 현실을 냉정하게 바라보고, 대안을 제시한다. 거창한 변화를 요구하는 것이 아니라 가정에서 행할 수 있는 '민간요법'적 대안 모색을 통해 하나씩 우리 교육의 변화를 모색한다."
94,95,이 짧은 시간 동안,정호승,"『눈물이 나면 기차를 타라』 이후 5년 만에 펴내는 정호승 시인의 여덟번째 시집. 고통받는 사람들과 함께 해온 착하고 맑은 시심을 간직하면서도, 낮은 곳에 임한 사람들의 구체적인 실상을 따뜻하게 담아내고 있다. 명료하면서도 순수한 시세계로 독자들을 사로잡아온 시인은, 이번 시집에서 격조있는 슬픔의 정조를 뛰어난 언어감각으로 표현해낸다. 정호승은 또한 시인 자신에 대한 이야기도 많이 하고 있다. 이들 시편에서 시적 자아는 '참회'를 멈추지 않는 자아이며, 이미 참회한 것들을 깨달음의 수준으로 유지하는 자아이다."
95,96,다산의 마음,정약용,"다산 정약용의 인간적인 모습을 엿볼 수 있는 산문들!다산 정약용의 산문 선집『다산의 마음』. 그 사상의 비판성과 혁신성에 주목하면서, 다산의 내면과 감수성을 엿볼 수 있는 글들을 모아 엮었다. 특히 자기성찰적 존재로서의 다산, 고뇌하는 한 인간으로서의 다산에 주목하고 있다. 문학, 철학, 정치, 경제, 역사, 과학 등 광범한 영역에 걸쳐 저술을 남긴 다산의 인간됨과 사유를 이해하는 데 도움을 준다. 이 선집은 다산의 다양한 글을 소개하며, 겉으로 드러나지 않은 그의 내면을 들여다본다. 다산은 18년의 유배 생활 동안 좌절과 고통, 불안과 고독을 겪으면서도 자신과 자신의 삶을 돌아보았다. 또한 평생 민중의 편에 서서 현실의 부조리와 모순을 예리하게 비판하며, 진정으로 백성을 위한 정치를 해야 한다고 주장하였다.."
96,97,링컨 당신을 존경합니다,데일 카네기,"아름다운 대통령 링컨 이 책은 ‘위대한 정치인 링컨’이라는 측면보다는 ‘가장 인간적인 대통령 링컨’이라는 점에 초점을 두고 있다. 링컨의 정치적 활동, 남북전쟁, 암살 등을 다루는 사이사이 그의 우울증과 거듭되는 정치적 좌절, 극도의 가난, 앤 루트리지와의 열애, 그리고 메리 토드와의 비극적인 결혼 등에 관한 일화들을 집어넣어 한 나라의 대통령이기에 앞서 그 역시 한 인간이었음을 느끼게 한다. 특히 여자와 아이들, 가난한 사람들에 대한 링컨의 마음씀씀이를 느끼게 하는 편지와 전보, 주위 사람들이 전하는 이야기들은 그의 큰 포용력을 감동적으로 전달한다. 또한 사랑하는 연인의 죽음, 사랑하는 아들을 잃은 아버지의 슬픔, 불행한 결혼생활 내내 겪었던 괴로움 등은 같은 인간으로서 연민을 느끼게도 하지만 한편 그 속.."
97,98,갈대는 속으로 조용히 울고 있었다,신경림,"신경림이 엄선한, 한국의 명시 100선한국의 대표 시인, 신경림이 현대시 탄생 100주년을 기념해 엄선한 한국의 명시 100선 모음집. 현대시 탄생 100주년을 맞아, 신경림 시인이 평소 애송하는 시 100편을 고르고, 김용문 도예가가 자신이 직접 구운 자기에 시들에 새겨, 시에서 발췌한 구절이 새겨진 도자기 작품을 감상할 수 있다는 독특한 재미를 선사한다. 이번 시집은 김소월의 <진달래꽃>, 윤동주의 <서시>를 비롯해, 서정주, 윤동주, 이상화, 한용운, 노천명, 고은김지하 등 현대시 100년의 뚜렷한 족적을 남긴 이들의 시를 비롯해 기형도, 안도현, 최영미 등 젊은 시인의 작품에 이르기까지 폭넓게 아우른다. 제1부에는 이상화의 <빼앗긴 들에도 봄은 오는가>, 김수영의 &l.."
98,99,빵굽는 CEO,김영모,"빵 하나로 타워팰리스를 사로잡았다! ‘강남 최고의 브랜드’, ‘타워팰리스 사람들의 전용 빵집’으로 알려진 김영모 빵집. 고교 1년 중퇴 후 맨주먹으로 상경, 빵집 보조를 거쳐 한국 최고의 빵 장인 으로 우뚝 선 김영모의 눈물 젖은 빵 인생, 그리고 빵처럼 맛있는 경영이야기. 눈물 젖은 빵을 먹지 않고 경영을 이야기하지 말라! 김영모 과자점의 다른 특색은 새로운 제품이 끊임없이 개발된다는 것. 계절마다 달마다 새로운 제품들이 선을 보인다. 불황과 호황, 여자들의 치마길이와 유행, 사회트렌드에 따라 고객들의 취향도 바뀌는데 김영모 과자점은 이런 변화도 놓치지 않고 포착하여 반영한다. 그는 윈도베이커리 경영자들이 뉴스나 신문, 여성들의 헤어스타일과 패션도 눈여겨보아 달라진 코드를 반영해야 한다고 조언한다."
99,100,인생 수업,"엘리자베스 퀴블러 로스, 데이비드 케슬러","20세기 최고의 정신의학자이자 호스피스 운동의 선구자 엘리자베스 퀴블러 로스와 그녀의 제자 데이비드 케슬러가 죽음으로 내몰린 사람들을 인터뷰해, 삶에서 꼭 배워야 할 것들을 정리한 책. 2004년에 사망한 엘리자베스 퀴블러 로스의 마지막 책으로, 그녀가 살아가는 동안 얻은 삶의 진실들을 담고 있다. 이 책은 죽음과 마주한 사람들이 삶이라는 학교의 교사들이며, 삶이라는 학교에서 우리가 배워야 할 것은 정체성, 사랑, 인간관계, 시간, 두려움, 인내, 놀이, 용서, 받아들임, 상실, 행복이라고 말한다. 때로는 부조리하고, 하찮고, 무의미한 삶 속에서 즐겁지 않은데도 웃고, 마음이 맞닿지 않는데도 관계를 맺고, 절망적이지만 밥을 먹으며 살아가는 사람들에게, 삶의 마지막 순간에 간절히 원하게 될 것이 있다면, 지금.."
100,101,아름다운 마무리,법정,"영혼을 치유하는 맑고 순수한 언어이 시대의 경전 <무소유>의 감동을 잇는 또 하나의 깨우침법정 스님의 새로운 산문집. 마무리의 사전적 의미는 일의 끝맺음이다. 인생에서 뜻하는 마무리는 죽음을 맞이하는 마지막 순간을 뜻하지 않는다. 세상을 살아가다보면 그때그때 삶의 매듭들이 지어진다. 삶의 종착점에 이르는 그날까지, 인생에서 하나씩 지어지는 매듭이 모여 비로소 아름다운 마무리를 만들어낸다. 살아가는 순간순간 마무리하고 새롭게 출발해야 한다.현대인의 정신적 스승이라 불리우는 법정 스님의 『아름다운 마무리』는 인생의 마무리를 아름답게 매듭짓고자 하는 이들을 위한 영적 지침서이다. 의미없는 매일 매일의 일상을 살아가는 사람들을 위해 자신이 주인공이 되어 선택한 삶을 이끌어나가는 방법과, 순간 속에서 영원.."
101,102,소설가의 각오,마루야마 겐지,"일본 현대문학의 작가정신으로 불리는 마루야마 겐지가 타락한 작가들을 향해 던지는 비판이 담긴 산문 모음. <이미지의 세계>,<소설가가 작품의 전면으로 나설 때>,<시골생활의 효용성> 등 1968년부터 1974년까지의 글을 비롯해 1991년까지 산문,비평 등을 모았다."
102,103,햄버거에 대한 명상,장정일,"무크지 [언어의 세계]에 시를 발표하며 문단에 등단한 장정일의 시집. 도시적 감수성의 고백체 성격을 띠고 있는 일상적인 시에, 몰개성적 시대의 압력인 산업 사회의 파행성 등을 버텨낸 자유와 사랑의 증언을 담고 있다. ☞ 이 책은 2002년 4월 10일 민음사 <오늘의 시인총서> 제22권으로 재출간되었습니다."
103,104,의자,이정록,"이정록 시인이 다섯 번째 시집을 펴냈다. 2001년 김수영문학상을 수상한 <제비꽃 여인숙> 이후 5년 만이다. 시인의 일상에서는 자연의 작고 하찮은 사물들이 자연스럽게 삶을 이루며 소중하게 서로를 감싸고 있다.<벌레의 집은 아늑하다>, <버드나무 껍질에 세들고 싶다>, <풋사과 주름살> 등 전작들에서 자연을 닮은 푸른 상상력으로 삶을 따뜻하게 보듬는 데 주력해온 이정록 시인. 이번 시집에서는 일상의 구석진 부분들로 더욱 파고들어가 새로운 삶의 의미를 캐낸다.시집 <의자>는 지친 세상을 어루만지는 의미심장한 삶의 증거들과 따스한 웃음으로 가득하다. 상처 입은 것들에 대한 애정, 그리고 '일상에 지친 이들이 아픔을 내려놓고 쉴 자리'를 마련하려는 시인의 유난.."
104,105,사람풍경,김형경,"문학적 향기를 맡을 수 있는 특별한 정신분석서!나를 위로하고, 나를 인정하고, 나를 사랑하게 하는 여행의 기록, 소설가 김형경의 심리 여행 에세이. 사랑, 성, 죽음 등의 주제를 거침없는 사유와 상상으로 형상화해온 저자의 에세이로, 그녀가 세계 곳곳을 여행하면서 만난 사람들과의 일화를 통해 인간의 내면에 내재한 감정의 실체와 근본에 대해 사색하도록 이끈다. 이 책은 저자가 정신분석을 받은 후 혼자서 로마, 피렌체, 밀라노, 파리, 베이징 등 세계의 여러 도시를 돌아다니면서 만난 사람, 풍경, 예술 등에 자신의 심리를 투영한 것으로, 우리가 세상의 풍경을 통해 자신의 마음의 풍경을 바라보고 자신을 치유할 수 있도록 도와주고 있다. 또한 인간 심리에 대한 섬세한 관찰과 솔직한 분석, 그리고 삶을 바라보는 저자의.."
105,106,마징가 계보학,권혁웅,"1997년 『문예중앙』으로 등단한 권혁웅 시인의 두번째 시집. 제목이 시사하듯 이 시집은 7,80년대 문화적 코드들로 가득차 있다. 마징가, 독수리 오형제 등 소시민층 문화의 근간을 이루었던 만화적 코드와, 선데이 서울, 애마부인 등 성인물 코드를 양 날개로 삼아 우리가 지나쳐 온 시절의 아픔을 애잔하게 전달한다. 시인은 문화적 기호를 통해 시대적 아픔을 증언하면서도 서정적 아름다움을 잃지 않는다."
106,107,카이사르의 갈리아 전쟁기,율리우스 카이사르,"로마사뿐 아니라 서양사에 한 획을 그은 가이우스 율리우스 카이사르. 그는 로마 제일의 정치가이자 전쟁 영웅이면서 전장에서도 집필을 멈추지 않은 문사이기도 했다.카이사르가 남긴 책 가운데 현재까지 남아 있는 것은 8년간의 갈리아 전쟁을 기록한 <갈리아 전쟁기>와 원로원의 명령을 거부하고 루비콘 강을 건넘으로써 시작된 로마 내전을 기록한 <내전기> 단 두 권 뿐. 특히 <갈리아 전쟁기>는 격렬한 전투 상황에 대한 객관적이고 생동감 있는 묘사로 전쟁 문학의 명저로 꼽히는 작품이다.이 책에서 카이사르는 기원전 58년부터 51년까지 8년 동안 지금의 서유럽에 해당하는 지역에서 벌어진 전투와 정복 상황, 군사적 전략과 기술에 얽힌 이야기들을 생생하게 들려준다. 고대의 위대한 장군이 자신.."
107,108,실비아 플라스의 일기,실비아 플라스,"1963년 2월 11일 한 여류 시인이 가스오븐에 머리를 쳐박는 참혹한 자살을 시도했다. 1950년 장학생으로 스미스여대에 입학하고 400여편의 시를 썼으며 서른도 되기 전에 예술가의 반열에 오른 한 여인이 자살을 선택한 이유는 무엇이었을까. [실비아 폴라스의 일기]는 그녀가 자살을 선택하기까지의 고통스러웠던 과정을 설득력 있게 해명해 주고 있다. 일기에 나타난 그녀의 문학적 감수성과 재능, 그리고 자신이 하고 있는 모든 것에 대하여 열정과 야망을 가지고 성공하고자 했던 한 비범한 천재의 일대기를 돌아본다."
108,109,살아 있는 것은 다 행복하라,"법정, 류시화","많은 이들이 삶의 방향을 수정하는 데 가장 큰 영향을 미친 것으로 평가받는 법정 스님. 출가 50년을 기념하는 의미로 기획된 이 잠언집에는 살아 있는 모든 존재들의 행복을 기원하는 그의 글 130여편이 수록되어 있다.책장을 넘기다 보면 무소유, 자유, 단순과 간소, 홀로 있음, 침묵, 진리에 이르는 길과 인간 존재에 대한 성찰 등 법정스님의 대표적인 가르침들이 행간마다에서 읽는 이를 일깨운다. 아울러 세계적인 사진작가 마이클 케나의 명상적인 사진들이 더해져 영혼을 맑히는 글의 깊이를 더해 주고 있다. 책의 내용은 평소 법정스님과 가까이 지내는 시인 류시화 씨가 엮었다.서양에서 달라이 라마와 틱낫한 이후에 불교의 새로운 스승으로 법정 스님을 주목하고 있는 흐름에 맞추어 이 책은 중국, 일본, 대만, 미국에서도.."
109,110,화,틱낫한,"우리는 누구나 화를 내고 살아간다 크게 소리를 지르건 혹은 혼자 분을 삭이건, 표현방식은 다르지만 누구나 화를 내고 살아간다. 아무리 덕망이 높은 수도승이라 할지라도 평생 화 한 번 안 낸다고 자신할 수는 없을 것이다. 화를 낸다는 것은 웃고 우는 것처럼 인간이 가진 자연스러운 감정의 표현이기 때문이다. 그런데 문제는 한참 동안 화를 내다 보면 정작 자신이 왜 화를 내게 되었는지 그 이유를 곧잘 잊어버린다는 사실이다. 오직 화를 배출하는 데 급급할 뿐이다. 소리를 내지르면 화가 풀릴까? 아니다. 물건을 내팽개쳐도 혹은 음식을 마구 먹어댄다 해도 화는 시원하게 풀리지 않는다. 흔히 화가 나면 분풀이 할 대상을 찾는 사람들이 있는데 그것은 화의 악순환만 더할 뿐이다. 그러면 화를 참아야 할까? 속은 부글부글 끓.."
110,111,파리 좌안의 피아노 공방,사드 카하트,"파리와 피아노와 피아노를 중심으로 살아가는 사람들이 들려주는 아름다운 3중주!『파리 좌안의 피아노 공방』은 파리의 한 공방에서 오래도록 잊고 살았던 음악에 대한 열정을 우연히 발견하게 되는 한 중년 사내의 이야기를 담고 있다. 회사일로 파리에 왔다가 전업작가 생활을 시작하게 된 주인공 사드 카하트는 매일 아침 어린 두 자녀를 유치원에 데려다주다가 눈에 잘 띄지 않는 작은 상점을 지나게 된다. ‘데포르주 피아노: 공구, 부품’이라는 간단한 상호에 흥미를 느낀 카하트는 가게 안으로 들어가지만 처음에는 오만한 가게 주인에게 환영을 받지 못한다. 그러나 호기심을 억누르지 못한 카하트는 마침내 정식으로 이웃의 소개를 받고 그전에는 내밀하게 감추어졌던 세계에 발을 들여놓는다. 피아노를 둘러싼 카하트의 어린 시절 추억과.."
111,112,그 여자네 집,김용택,82년 <섬진강>으로 등단한 중견시인의 시집. 이웃마을에 살던 한 여자의 마음과 일상을 서정적으로 그려낸 `애인`을 비롯하여 사랑하는 여자의 집을 은은하고 아름답게 묘사한 `그 여자네 집` 외 `사람들은 왜 모 를까` 등 40여 편의 시를 모았다.
112,113,남자들에게,시오노 나나미,"보통인 남자를 보통이 아닌 남자로 만들 수는 없을까? 정말 매력있는 남자란 자기 냄새를 피우는 자로 남자를 알아보는 지침서이다. 남자의 스타일, 매력, 언어, 남녀관계 및 여성심리 등을 들춰 오늘날의 남자품평회나 한번 해보자."
113,114,피터 드러커 자서전,피터 드러커,"이 책은 드러커의 유일한 자서전이자 아주 독특한 형식의 자서전이다. 관찰자의 기질을 타고났다고 스스로 고백한 드러커는 어려서부터 사람들을 관찰하는 것을 좋아했다. 이 책에서는 드러커에게 인생을 가르쳐준 할머니, 교육의 길을 제시해준 초등학교 선생님처럼 개인적으로 중요한 인물에서부터, 심리학의 대가 프로이트·미디어의 예지자 마셜 맥루안·잡지왕 헨리 루스·GM의 경영자 앨프레드 슬론 등 유명한 인물에 이르기까지 다양한 분야의 다양한 사람들을 드러커만의 독특한 시각으로 바라보고 있다.드러커는 이렇게 다양한 사람에 대한 관찰과 분석을 통해 단편적으로 존재하던 자신의 생각이 일정한 체계를 잡게 되었고 자신의 주변 세계와 내면 세계를 제대로 인식하게 되었다고 고백한다."
114,115,한비야의 중국견문록,한비야,국제 NGO 월드비전에서 긴급 구호 활동가로 활동 중인 저자의 중국생활기. 저자는 7년에 걸친 세계 여행과 국토 종단을 마치고 오로지 중국어 공부만을 위해 중국으로 건너갔다. 그리고 학원이나 책으로 만나는 중국인이 아닌 생활에서 느끼는 중국 민족을 1년간의 유학생활에서 꺼내놓았다. 중국의 사계 속에서 느끼고 겪은 가깝고도 따뜻한 일들과 중국을 만나면서 깨달은 저자의 이야기가 가득 담긴 문화체험서.
