,순위,책이름,저자,줄거리
301,302,나는 대한민국의 교사다,조벽,"'교수를 가르치는 교수'로 유명한 교수법의 권위자 조벽 박사가 제안하는 새 시대 교육자를 위한 생존 전략. 글로벌 시대, 정보시대, 평생교육시대로 이동하는 현재의 대한민국 교사들에게 미래준비와 자기경영을 위한 효과적인 지침들을 전해주는 책이다. 학교 붕괴와 흔들리는 교권, 사교육비 증가, 조기 유학 등으로 얼룩진 한국의 교육 위기 속에서 교육자들이 정체성과 자긍심을 회복하고 선진 교육으로 나아갈 수 있는 길을 모색하고 있다. 명쾌한 논리와 객관적인 분석을 통해 우리 교육의 현실을 비판하며, 대한민국 교육자들이 자신의 역량을 높여 더 큰 희망과 비전을 가질 수 있도록 도와준다."
302,303,손녀딸 릴리에게 주는 편지,앨런 맥팔레인,"케임브리지 대학 노교수가 손녀딸을 위해 쓴 편지를 엮어 한 권의 책으로 펴냈다. 가족, 사랑과 결혼, 우정, 존재, 학교와 조직, 신, 즐거움, 돈과 시간, 지식, 정신세계, 인류의 미래 등 영원한 삶의 화두들에 대한 28가지 질문을 던지고, 그에 대한 해답을 제시했다. 인류의 역사와 다양한 문명을 꿰뚫어보는 통찰력을 바탕으로 씌어졌으며, 손녀딸을 지켜주고 싶은 할아버지의 사랑도 가득 담겨 있다.편지에 담은 생각은, 지은이가 평생 유럽과 아시아를 여행하고 대학에서 학생들을 가르치면서, 그리고 과거와 현재의 역사에 대해 읽고 쓰는 과정에서 얻어진 것들이다. 본문은 여러 주제로 나뉘어 있지만 크게 보면 '인간은 어떤 존재인가', '우리가 살고 있는 세상은 어떻게 시작됐고 본질은 무엇인가'라는 두 가지 문제에 대.."
303,304,지눌의 선사상,길희성,이 책은 지눌 사상 전체를 체계적으로 고찰하여 다양한 얼굴을 가진 지눌의 포괄적인 불교사상 내지 선 사상을 전체적으로 고찰하고자 쓰여진 연구서이다. 이 책에서 연구한 지눌의 저술과 삶의 행적들은 선의 세계에 직접 뛰어들기 전에 무언가를 먼저 명쾌하게 할고 싶어하는 독자들의 욕구를 충족시키기에 더할 나위 없이 좋은 안내서가 될 것이다.
304,305,이육사전집,"김용직, 손병희","민족 시인 이육사 탄신 100주년 기념집. 본명은 이원록, 이원삼, 또는 이활. 이육사는 1904년 4월 4일(음력 3월 21일)에 경상북도 안동군 도산면 원천동 882번지에서 출생하여 1944년 1월 16일 새벽 5시에 북경 감옥에서 순국하였다. <황혼>과 <청포도>, 그리고 <광야>를 포함한 시 40편, <황엽전>과 <골목 안>, 그리고 <고향>을 포함한 소설 3편, <창공에 그리는 마음>과 <연륜>, 그리고 <산사기>를 포함한 수필 14편, <자기심화의 길>과 <예술형식의 변천과 영화의 집단성>, 그리고 <중국문학 50년사>를 포함한 문예 · 문화 비평 7편, <위기에 .."
305,306,한국의 글쟁이들,구본준,"이주헌, 구본형, 정민, 이덕일, 이원복 등 대한민국 대표작가 18인의 집필세계속으로글을 통해 세상과 소통을 하고 삶을 살아가는 사람들의 이야기를 담은 책. 신문기자인 저자가 2006년부터 2007년까지 분야별 최고 저술가를 만나 한겨레에 연재하던 '한국의 글쟁이' 칼럼을 모아 엮었다.《한국의 글쟁이들》에서는 교수로서 글을 쓰는 사람들과 학자 저술가 글쟁이, 전공자는 아니지만 저널리스트적 감각을 가지고 새로운 흐름을 담은 글을 써내는 전문가 글쟁이 등 18명의 글쟁이들과의 만남을 통해 그들이 갖고 있는 집필 세계를 보여준다.이 책에서는 글쟁이들의 글쓰기 노하우와 자료 정리법, 정보 습득 기술을 글쟁이들의 편안한 모습과 사적인 공간이 담긴 사진을 곁들여 소개한다. 또한 최고의 글쟁이들이 풀어놓은 글쓰기의 무기.."
306,307,전쟁과 평화 1,레프 톨스토이,"똘스또이 문학의 예술적 창조력의 극치를 이루는 <전쟁과 평화>. 이 책은 세계의 문예비평가나 똘스또이 연구가, 그리고 문학 애호가의 절대적 찬미대상이 되어 왔다. 또 그 양이나 질, 제재의 스케일에 있어서도 세계문학 가운데 호메로스의 <일리아스>에나 견줄, 단지 러시아문학뿐만 아니라 유럽근대문학을 통틀어 으뜸가는 예술작품으로 꼽아도 좋을 일대서사시적대하소설이다."
307,308,행복한 책 읽기,김현,"이 책에 실린 글들은 김현이 작고하기 전 4년 동안 쓴 일기로,그가 읽은 책, 본 영화, 느낀 이야기 들을 아름답고 섬세한 단상으로 기록함으로써, 그의 사유의 비밀,왕성한 책읽기 작업, 문화와 삶,그리고 그 자신이 예감한 죽음에 대한 뛰어난 성찰들이 수록되어 있다."
308,309,근대적 주거공간의 탄생,이진경,"『근대적 주거공간의 탄생』은 근대적 주체생산의 과정을 주거공간의 변화를 중심으로 분석한 책이다. 저자 이진경은 ‘가족 공간’이 근대적 주체생산의 가장 기초적이고 중요한 위치를 담당하고 있다고 말하면서, 이러한 주장의 근거로 중세 유럽의 주거공간까지 거슬러 올라가 ‘주거공간의 기원’을 파헤친다. 또한 지껏 제대로 탐구되지 않았던 ‘근대적 주거공간의 탄생’과 ‘근대적 주체의 형성’이라는 주제를 다양한 역사적 사례를 이용하여 서술하고 있다.중세 귀족의 저택에서부터 르네상스 시기의 이탈리아 저택과 근대 프랑스와 영국 저택의 변모 과정을 수많은 사례와 도판을 통해 설명해 준다. 각 시대의 건축물을 꼼꼼히 분석해서 당시 사람들의 동선을 복원해 내는 한편, 이러한 동선을 하나하.."
309,310,릴케와 한국의 시인들,김재혁,"라이너 마리아 릴케는 1930년대 중반 시문학파 시인 박용철에 의해 정식으로 소개된 이래 한국 현대시사의 초기부터 우리나라 시인들에게 깊은 영향을 주었던 외국 시인 중 하나이다. 이 책에서는 박용철, 윤동주, 김춘수, 김현승, 전봉건, 김수영, 허만하, 이성복, 김기택 같은 시인들의 작품과 그들의 시의식, 시 세계를 통해 릴케 수용 양상을 실증적인 바탕 위에서 살펴본다. 또한 우리 시인들의 부정확한 릴케 이해를 바로잡고자 했다. 저자는 국내 릴케 연구와 번역의 권위자이며, 그 자신이 시인이기도 하다."
310,311,역사학의 철학,이한구,"이 책은 일반 독자층을 대상으로 한 책으로, 전문적인 내용을 비전공인 일반 독자들도 쉽게 이해할 수 있도록 풀어쓴 교양 도서이다."
311,312,공산당 선언,강유원,"젊은 세대를 위한 마르크스 입문서이 책은 마르크스의 <공산당선언>을 과거의 문헌으로서가 아닌, 우리가 살아가는 이 세상을 지배하는 가장 근본적이고도 강력한 힘인 '자본주의'에 대해 이해하고 그 본질을 바로 알고자 쓰인 책이다. 또한 이 책은 우리에게 '회사원 철학박사'로 잘 알려진 저자 강유원이 마르크스의 '고전'을 텍스트 삼아 우리 시대 젊은이들에게 보내는 '응원가'이자 진정한 자기를 찾도록 도와주는 '톡톡 튀는 고전강의' 이기도 하다.이 책을 '좌파를 위한 자기계발서'라고도 말하는 저자는 '자기 자신의 생각을 자기 스스로 추적하는 일, 그것이야말로 진정한 자기계발이고 자기를 위한 공부'이며 따라서 이 책을 통해 우리가 몸담고 살아가는 자본주의 본질과 모순, 그리고 사회적 관계 속에서 자기 자신.."
312,313,지식의 대융합,이인식,"21세기 지식의 물결은 어디를 향하고 있는가?지식 융합의 거대한 흐름과 세세한 줄기를 모두 담아낸 지적 도전!인문학과 과학기술은 어떻게 만나는가『지식의 대융합』. 21세기 지식의 흐름은 경계 허물기와 지식의 융합을 통한 새로운 패러다임으로 진화하고 있다. 영역을 넘나드는 학문간 융합은 21세기의 성장 동력인 동시에 다양한 분야의 상상력, 창조성의 원동력으로 지식의 지도를 바꾸고 있다.이 책은 과학기술이 인문학과 어떻게 만나고 섞여서 어떠한 연구 분야를 만들어 내고 있는지 살펴본 지식 융합의 개론서이다. 미래지식의 새로운 패러다임이 될 ‘융합 지식’과 ‘융합기술’을 이해할 수 있다. 융합 학문마다 핵심 개념을 요약하고 관련된 참고문헌을 함께 나열하여 길라잡이의 기능을 부여하였다. 지식의 대융합을 이루는 학문간.."
313,314,두보 평전,한성무,"이른바 ‘시성’으로 평가되는 두보의 시와 삶을 한눈에 꿰어 볼 수 있는 책. 100만 자에 달하는 두보 시를 육 년에 걸쳐 최초로 전역한 두시 연구자인 하북대학 한성무 교수가 쓴 이 저작은 두보의 행적과 삶을 상세하고 정확하게 그려내고 있다.책에서 지은이는 두시를 때로는 폭넓게 조망하고 때로는 한 글자에 담긴 의미까지 추적하여 두보의 굴곡진 삶을 입체적으로 재현함으로써 두보의 생애와 관련한 의문들에 대해 나름의 설득력있는 답을 내놓는다. 육백여 쪽에 이르러 읽기에 다소 부담스러울 수도 있으나, 두시 전문만도 250여 수가 실려 있어 여느 두보시선집 못지않은 두시를 접할 수 있다.총 여덟 장으로 구성되어 있으며,제1장에서 제7장까지는 두보의 출생에서 사망에 이르는 삶의 궤적을 순차적으로 서술하고, 마지막 8장.."
314,315,김학철 평전,"김호웅, 김해양","조선의용군 최후 분대장 김학철에 대한 내용을 담은 『김학철 평전』. 잊혀진 항일 투쟁의 마지막 증인으로 민족과 국경을 넘나드는 민족 문학가로의 모습을 보여준다. 김학철이라는 인물의 영웅적 면모에서부터 문학세계, 지인들과의 관계, 가족과 일상생활들을 세세하게 그렸다 . '역사인물찾기' 제24권. 양장제본."
315,316,How to be happy,소냐 류보머스키,"긍정심리학에서 찾은 행복의 길『HOW TO BE HAPPY: 행복도 연습이 필요하다』는 저자가 <사이콜리지컬 불리틴>에 발표한 내용을 근간으로 그 동안의 연구 내용을 알기 쉽게 풀어서 정리한 것이다. 저자는 27만 5천 명, 225건의 연구를 통해 '행복의 과학'을 밝혀냈고, 이를 토대로 행복의 수준을 높이는 데 효과가 있는 것으로 12가지 행복 연습 과제를 제시하였다.'목표에 헌신하라, 친절을 실천하라, 감사를 표현하라, 대응 전략을 개발하라, 종교 생활과 영성 훈련을 하라, 감사와 낙관주의를 배워라, 스트레스를 관리하라, 몸과 영혼의 건강을 돌보아라' 등 검증된 12가지 행복 연습 과제를 하나씩 소개하며 이 중에서 자기에게 가장 잘 맞는 방법들을 선택해서 꾸준히 실행할 것을 권한다. 그리고 각.."
316,317,아웃사이더,콜린 윌슨,"<아웃사이더>가 처음 나왔을 때, 많은 비평가들은 마치 전기 쇼크를 받은 것처럼 당황해했다. 이 책이 처음 출판되었을 때 저자는 24세에 불과했으나, 전세계의 매스컴은 그의 해박한 자식에 탄복했고 그의 지식에 대한 비평과 비교방식을 부러워하고 질투할 정도였다. 이 책이 유명해지자 여러 나라에서 앞다투어 번역. 소개했는데 아랍인들조차 굉장한 관심을 보였다. 그러니 이 책이 미국에서 비소설 부문의 으뜸가는 베스트셀러로 장기간 군림해왔음은 결코 우연이 아니다. ""아웃사이더""는 누구인가? 물질문명과 기계문명이 고도로 발달하는 반면, 정신문명은 상대적으로 약화하는 탈정신적 시대를 사는 현대인. 인간의 자리를 자꾸 파고드는 전자, 기계에 의해 인간은 점점 소외되어간다. 과연 인간 존재의 의의와 진실한 의미에.."
317,318,고문진보 전집,황견,"한글 세대를 위한 <고문진보> 전집동양적 사고와 정신 문화의 지평을 넓혀준 한문 문장 교과서 <고문진보>를 번역한 책이다. 2001년에 발간된 초판의 체재와 내용을 수정하고 보완하여 새롭게 펴낸 개정판이다. <고문진보>는 옛글 가운데서 참된 보물만을 모은 고전 중의 고전으로, 크게 시를 모은 시 선집인 '전집'과 산문을 모은 산문 선집인 '후집'으로 구성되어 있다. <고문진보>는 단순한 문장 모음집이 아니라, 세월이 흘러도 변하지 않는 고전의 가치와 삶의 지혜를 전해주는 교훈서의 역할도 겸하고 있다. 임금에 대한 절개, 출세에 대한 지략, 인생의 의미와 자연의 아름다움 등을 노래하며 민중과 사회의 여러 모습에 대한 중국 옛 선현들의 사유를 함께 전해준다. 이 책은 .."
318,319,모던 타임스 1,폴 존슨,"20세기를 만든 주요 사건과 인물들을 파헤친 보고서<모던 타임스>는 20세기 세계사를 결정지은 주요 사건과 인물들을 다룬 책이다. 우리 시대 최고의 석학으로 꼽히는 폴 존슨의 대표작으로, 1920년대부터 1990년대까지의 역사를 살펴본다. 1983년에 처음 출간된 이 책은 뉴욕 타임스의 '올해의 책'과 내셔널 리뷰의 '20세기 100권의 책'에 선정되기도 했다. 한국어판은 1991년에 출간된 개정판을 번역한 것이다.이 책은 기존 역사서들의 연대기식 서술방식 대신, 시대상을 보여주는 이야기 전개와 정치, 군사, 경제, 과학, 종교, 철학계를 뒤흔든 인물들에 대한 생생한 묘사를 바탕으로 현대사를 흥미진진하게 재현하였다. 통념을 뒤집는 새로운 시각으로 20세기 주요 사건과 인물들을 다시 평가하고, 사건.."
319,320,육체와 예술,피터 브룩스,"최근 들어 육체는 문화의 가장 중요한 대상이 되고 있다. 문학과 예술 작품에서 욱체가 어떻게 다루어지고 있으며, 왜 육체를 다루는가에 주안점을 두고 육체와 의미, 육체에 대한 글쓰기를 탐구하고 있는 책. 문학 속에서의 육체의 역사를 추적하고, 18세기 이후 19세기까지의 문학과 미술 텍스트 안에서의 육체를 분석했다. 아울러 20세기 서사문에 나타나는 서술적 육체의 다양한 양태에 대해 살폈다. 예술 작품의 서술적 논리상에 있어서의 욕망의 대상은 무엇인가 ? 하는 문제를 진지하게 숙고할 수 있는 책이다. 양장본."
320,321,한국 도교의 기원과 역사,정재서,"한국 도교의 기원과 역사를 살펴보는 책. 중국 도교를 중국만의 토착 종교로 보지 않고 주변 문화와의 경합적, 다원적 관계에서 발생한 문화로 파악하는 입장에서 접근하였다. 한국 도교의 기원과 역사적 사안들에 대하여 중국 도교와의 대비적 관점을 유지하면서 그 고유성 및 변별적 자질을 탐구하고 있다.이 책은 기존의 한국 도교에 대한 중국 도교 중심의 서술이나 연구에서 벗어나, 객관적으로 한국 도교의 고유성을 입증하고자 했다. 한국 도교가 한국의 기층 문화와 깊은 관계에 있으며 한국 문화의 근저에 깔려 있는 자주의식 및 민족의식을 표현하고 있다는 것을 밝히고 있다. 신화학, 인류학, 고고학, 후기 구조주의, 문화 연구 등을 통해 한국 도교의 기원, 역사, 개념, 쟁점 등을 전반적으로 살펴본다."
321,322,중국현대문학과의 만남,한국 중국현대문학학회,"현대중국에 대한 심층적이고 대중적인 이해를 돕는『중국현대문학@문화』시리즈 제1권. <중국현대문학과의 만남>은 중국현대문학의 인물들과 갈래를 살펴보는 책이다. 중국의 현대문학과 현대문화를 연구하는 단체로는 국내에서 가장 오래되었고 활발하게 활동해온 한국 중국현대문학학회의 젊은 연구자들이 모여 공동으로 기획하고 집필하였다.이 책에서는 근대, 현대, 당대로 다르게 지칭되거나 세부적으로 시기가 나누어지는 것을 모두 포괄하여 '현대'로 명명하고 다루었다. 굴곡 많은 중국 근현대사와 더불어 성장해온 중국현대문학을 단순히 소개하고 정리하는 데 그치지 않고, 오늘의 중국을 읽고 이해하는 데 밑거름이 되는 시각을 보여주고 있다. 중국현대문학을 공부하려는 학생들뿐만 아니라 이웃나라의 현대 풍경을 알고자 하는 일반인.."
322,323,긍정 심리학,마틴 셀리그만,"긍정 심리학의 창시자 마틴 셀리그만이 전달하는 강력한 희망의 메시지!우리 삶에 꼭 필요한 긍정적인 정서를 다룬 책.『긍정 심리학』은 먼저 행복도를 높여줄 긍정적 정서에 대한 이해와 증가 방법에 대해 들려준 다음, 개인의 강점을 파악하고 계발하여 일, 사랑, 자녀 양육, 여가 활동이라는 삶의 현장에서 진정한 행복을 만드는 방법을 차분하게 소개한다.뿐만 아니라 호기심, 학구열, 판단력, 창의성, 사회성 지능, 예견력, 호연지기 등 24가지 강점을 설명하고 누구나 서너 가지의 대표 강점을 지니고 있다고 강조한다. 이들을 삶에 통합시키면 긍정적인 태도로 자신의 최대 잠재력을 계발하여 더 나은 삶을 이어갈 수 있다고 낙관적 주장을 펼친다.책 안에는 행복 수치와 긍정적 정서의 정도, 가장 큰 강점이 무엇인지 측정할 수.."
323,324,중용,박완식,"동양의 중요한 고전으로 평가받는 <중용>을 깊이 있게 살펴보는 책. <중용> 본편에 대한 국역과 함께 강설을 담아 깊은 이해를 도와주며, <중용혹문>은 문답형식을 빌어 <중용>에 관한 여러가지 설을 검토하고 상세한 해석을 덧붙였다.<중용>은 지선의 중용을 목표로 하여, 그 근본 문제에서 도를 추구하고 인간의 본질을 참구하고 있다. 특히 유의해야 할 점은 <중용>의 핵심이 성(誠)에 있다는 것이다. 성이란 '진실하여 거짓이 없다'는 의미로, <중용>에서는 성을 중심으로 한 '천인합일론'을 계통적으로 논술하였다.이 책은 주자학설에 기초한 해석과 함께, 주자학에 이끌리지 않는 자주적인 해석을 시도한 백호 윤휴의 <중용독서기>를 .."
324,325,국어 교육의 이해,"최미숙, 원진숙, 정혜승, 김봉순, 이경화","이 책은 국어교육학에 입문하고자 하는 다양한 사람들을 대상으로 하여 국어교육에 대한 이해를 돕고자 기획한 것이다. 교육대학교, 사범대학교, 교육대학원의 국어 교육 전공 학생들이 국어 교육에 입문하기 위해 필요한 교재이다. 더불어 학교 현장에서 활동 중인 교사나 국어 교육과 관련된 사람들을 위해서도 유용할 책이다. [표지글]"
325,326,주제와 변주 1,인디고 서원,"청소년을 위한 인문학 서점 '인디고 서원'의 독서토론회 <주제와 변주>를 엮은 책. 2006년 4월 현재 18회까지 진행된 <주제와 변주> 행사 가운데 10회까지의 토론 내용을 모아 담았다. 책과 책을 자유롭게 넘나들던 청소년들이 만나고 싶었던 저자를 초대하여 책에서 못다한 이야기들을 풀어내고 있다.<주제와 변주>는 짧게는 6개월, 길게는 10년 이상 책을 가까이 하며 지낸 청소년들이 직접 만들어낸 책이다. 청소년들은 책을 읽고 토론하는 수업을 통해 가장 만나고 싶은 저자를 선정하여 자신들의 이름으로 초대의 편지를 썼다. 작가들과의 토론을 통해 청소년들이 일상에서 늘 고민하는 기본적이고도 본질적인 문제들을 함께 고민하고 있다."
326,327,고백록,아우구스티누스,"철학 고전에 담긴 지혜와 지식을 전해주는『청소년 철학창고』제13권. 아우구스티누스의 기독교 사상을 대표하는 저서이며 중세 사상의 출발점이 되는 <고백록>을 청소년의 눈높이에 맞춰 쉽게 풀이한 책이다. <고백록>은 방황하던 젊은 날에 대한 솔직한 고백과 인간과 신에 대한 성찰, 그리고 신에 의한 구원과 그에 대한 찬양을 포괄하고 있다. 영혼과 육체, 욕망과 절제, 현세적인 삶과 영원불멸의 삶, 인간의 한계와 대비되는 절대자의 문제 등을 솔직하면서도 진실하고 그려낸다.이 책은 방대하고 어려운 원문의 흐름을 놓치지 않도록 <고백록>을 새롭게 번역하였다. 삶을 고뇌하는 사람, 특히 청소년에게 삶과 영혼의 문제를 진지하게 고민할 수 있도록 재구성하여 서양 사상의 원류라는 색채를 살렸다.."
327,328,동양의 고전을 읽는다 2,강신주,"청소년을 위한 고전 입문서 <동양의 고전을 읽는다>. 오늘의 눈으로 동양의 고전을 다시 살펴보는 책이다. 주옥같은 동양의 고전을 망라하여, 서양 고전에 편중된 시각을 바로잡고 동양인의 사유의 뿌리를 찾아가게 하는데 주안점을 두었다. 7인의 편찬위원회가 각계 전문가들의 추천을 결산하여 선정한 72종의 고전을 4권에 나누어 담았다. <동양의 고전을 읽는다>에는 각 분야에서 돋보이는 역량과 필력을 자랑하는 66인의 당대 지식인과 작가들이 공동으로 참여하였다. 고전의 전체적인 맥락을 살펴보며, 고전이 함축하고 있는 다양한 문제의식을 오늘 우리의 문제 상황에서 풀어내고 있다. 우리의 시각으로 고전을 재창조하는 살아 있는 고전 읽기의 즐거움을 체험할 수 있도록 구성하였다. 2권『사상』편에서는 4부.."
328,329,당신은 이미 소설을 쓰기 시작했다,이승우,"발상에서 좋은 문장까지 창작의 비결을 제시하는 <당신은 이미 소설을 쓰기 시작했다>. 소설가 지망생뿐만 아니라 '자신의 이야기'를 쓰고자 하는 사람들에게 소설가 이승우가 전해주는 '창작에 대한 조언'을 담고 있는 책이다. 소설을 쓴다는 것은 곧 삶에 참여하는 일이라는 점을 강조하며, 글을 매개로 자신을 표현하고자 하는 욕구를 가진 사람들이 알아두어야 할 태도와 믿음에 대해 이야기한다.이 책은 창작의 기술이나 방법보다는 그 태도를 강조하고 있다. '소설을 천천히 꼼꼼하게 읽고 있는 삶은 이미 소설 쓰기를 시작한 사람'이라고 말하며, 낯익은 일상도 자신만의 시각으로 새롭게 바라보고, 끊임없이 소설을 생각하고, 소설을 읽고, 소설을 쓰라고 조언한다. 또한 그동안의 창작 경험에서 자연스럽게 체득한 노하우.."
329,330,전국시대 비판철학,이해영,이 책은 전국시대의 대표적 사상가 4명의 비판의식을 통해 당시의 사회를 진단하고 저마다의 처방을 제시한 것을 정리한 책이다. 4명의 사상에 대한 깊은 사유를 통해 현시대의 고민에 대한 해결의 실마리를 잡을 수 있을 것이라고 저자는 말하고 있다.
330,331,문화상징사전,이승훈,"문학으로 읽는『문화상징사전』. 문학에 나타난 상징성을 소개한 책이다. 상징은 회화, 음악, 문화, 예술뿐만 아니라, 철학, 종교, 민속, 건축 등 모든 문화에 존재한다. 고대부터 현대까지 인간의 문화를 지배한 것은 상징이고, 특히 예술은 객관적 현실의 재현보다 주관적 정서, 상상력, 상징을 강조해왔다. 결국 인간은 상징적 동물이고 상징을 통해 사진을 표현하고, 감정을 드러내고, 문명과 문화를 창조해낸 것이다."
331,332,죽음앞에 선 인간 상,필리프 아리에스,"서구의 종교, 미술에 담긴 죽음의 이미지를 탐구한 책. 고대 로마 아피아 가도의 묘소로부터 현대 잉그마르 베리만의 영상에 이르기까지 죽음이라는 문제를 들러싼 다양한 이미지의 변천과 해석을 분석하였다. 풍부한 사진과 삽화를 수록했다."
332,333,유경의 죽음 준비학교,유경,"그의 죽음, 너의 죽음, 나의 죽음! 죽음의 세 가지 얼굴!내 인생을 시원하게 설거지하다! 따뜻하고 행복한 죽음준비학교『유경의 죽음 준비학교』. CBS 아나운서 출신 유경. 오랫동안 노인대상 프로그램을 진행하고 노인복지 현장에서 꾸준히 활동을 해 온 그녀가 죽음 준비를 말한다. 결혼준비를 하고 출산준비를 하고 취업 준비를 하지만, 우리는 정작 죽음에 대한 준비를 하지 않는다. 행복한 노년과 죽음에 대한 준비를 이 책을 통해 제안한다.저자는 죽음의 다양한 모습을 살펴본다. 캠프를 갔다가 화재로 목숨을 잃은 아이들, 소방안전교육을 받다가 자신의 부모가 죽는 모습을 본 초등학생들, 범죄의 피해를 입은 가족들, 자살자들, 존엄사와 장기기증, 그리고 저자가 사랑했던 조카의 죽음까지. 이런 모습을 통해 ‘그’와 ‘너’.."
333,334,노래하는 강아지똥,백창우,"“언젠가 너도 귀하게 쓰일 날이 있을 거야!”그림책「강아지똥」의 감동을 이어간다~노래하는『강아지똥』. 그림책《강아지똥》의 감동을 노래와 연주로 전하는 음반. 그림책을 읽고 그 감동을 담아 노래로 듣고 함께 부를 수 있습니다. 오랫동안 아이들의 삶과 꿈이 담긴 노래를 만들어 온 음악가 백창우가 새롭게 시도한 것으로, CD 음반과 노랫말, 악보집을 실은 책자로 구성되어 있습니다. 이 음반에는 총 스무 곡이 수록되어 있습니다. 백창우 작가가 스스로의 존재에 물음을 갖고 있던 강아지똥이 한 송이 민들레로 피어나기까지 인상적인 장면들을 아름다운 노랫말과 연주가 엮어 담겨 있습니다. [구성_ 노랫말과 악보, 에세이 ‘내가 만난 강아지똥’, 악보 수록]☞ 「강아지똥」은 동화 작가 권정생 선생의 대표 동화로, 아낌없이 나.."
334,335,진단명 사이코패스,로버트 D. 헤어,"겉은 멀쩡하면서도 끔찍한 범죄를 저지르는 반사회적 성격장애자를 일컫는 '사이코패스'에 대한 분석서. 갈수록 늘어가는 재범률, 밖으로는 잘 드러나지 않는 가정폭력의 심각성, 각종 화이트칼라 범죄, 법적 제재가 어려운 일상생활 속의 소위 '괴롭힘' 행위의 본질을 이해하고 대책을 마련하는 데 있어서 사이코패시에 대한 지식과 평가는 매우 긴요하다.저자인 로버트 헤어 박사는 이러한 문제의식을 가지고, 지난 25년간의 임상 연구 결과를 바탕으로 이 책을 썼다. 사이코패시의 특징과 원인, 처벌과 대책, 치료 등 사이코패스에 관한 전반적인 문제들을 일반인도 쉽게 읽을 수 있도록 친절하게 다루고 있다.전문가들은 사이코패스의 정신병질이 내부에 잠재되 있다가 범행을 통해서만 밖으로 드러나기 때문에 주변에서는 전혀 알아차리지 못.."
335,336,나의 레종 데트르,김갑수,"내가 책을 읽었다기보다는 책이 나에게 말을 걸었다!쿨한 문화평론가 김갑수의 독서 오디세이, 『나의 레종 데트르』. 1인 음악실 '줄라이홀'의 주인인 덕분에 저자의 활동은 음악 쪽으로만 인식되어 왔다. 하지만 저자의 생존을 받들어온 영역은 책 쪽이었다. 여러 신문의 서평담당으로 활동했을 뿐 아니라, SBS TV의 '김갑수의 책하고 놀자' 등을 진행해온 사실만 봐도 알 수 있다.이 책은 무목적성 책읽기를 해온 저자의 레종 데트르(RAISON D'ETRE)를 담았다. 저자의 미덕은 책읽기를 하는 중에 거침없고 솔직하게 자신의 삶에 대해서 털어놓는 데 있다. 아직도 성에 대한 이중성에서 자유롭지 못한 우리 사회를 살아가면서도 카사노바를 삶의 멘토로 삼겠다는 등의 생각을 솔직하고 발랄하게 고백하는 것이다. 저자는 자.."
336,337,세계종교 둘러보기,오강남,"하나의 종교만 아는 사람은 아무 종교도 모른다. 대부분의 종교인들은 자기 종교 말고 다른 종교에 대해서는 이해가 그리 깊지 않다. 그뿐 아니라 자기 종교만 아는 사람이 모든 종교를 다 아는 것처럼 그리고 다른 종교는 알아 보나마나한 것처럼 말하는 경우도 의외로 많음을 발견하게 되었다. 이 책은 세계 종교들의 창시 배경, 주요 경전, 핵심적인 가르침 등 가장 중요한 종교 현상을 역사적 흐름과 맥락에 따라 조목조목 살펴보고 이런 종교들이 역사적으로 어떤 역할을 수행해 왔는지를 알아본다."
337,338,우리가 성에 관해 너무나 몰랐던 일들,김성애,"어린이 및 청소년 성폭력 사례 및 예방지침서. 아는 오빠에게서, 혹은 새 아버지에게, 이웃집 아저씨에게 성폭행을 당하고 고통받는 삶을 살아가는 피해자들의 성폭력 사례담을 유형별로 분류해 수록하고, 성폭력의 피해에 노출되어 있는 동안 당하는 고통과 후유증, 성폭력 없는 사회를 만들기 위한 제언과 예방책, 참고 자료들을 실제적으로 써내려갔다."
338,339,이야기 동양 신화 1,정재서,"신화학자이자 중어중문학과 교수인 정재서가 쓴 동양신화입문서. 1만 8천 년 동안의 잠에서 깨어난 거인, 사라져버린 슬픈 모신 여와, 불패영웅 치우와 황제의 전쟁, 열 개의 태양을 쏘아 떨어뜨린 명궁 예, 영혼을 찾아 떠난 주목왕의 모험, 퉁방울눈의 누에치기가 세운 촉나라 이야기 등 동양의 정신과 사상, 감정과 행동의 뿌리가 되는 동양신화의 세계를 300여 컷의 이미지와 함께 소개하고 있다."
339,340,침묵의 세계,막스 피카르트,"의사이며 작가이기도 했던 독일인, 막스 피카르트의 이 책은 사물과 침묵, 사랑과 침묵, 시간과 침묵, 자연과 침묵, 병, 죽음 그리고 침묵 등 여러 주제로 나누어 침묵을 예찬한다. 이 책의 서평을 쓴 철학자 가브리엘 마르셀의 글도 읽을수록 잊혀지지 않는 여운이 있다."
340,341,한시미학산책,정민,책으로 만나는 새로운 세상
